Study	Study_accession	Sample_type	Sample_group	Eager_label	Secondary_sample_accession	Run_accession	Sample_alias	Host	Country	Age_BP	avg_gc	avg_rl	No_reads_no_human	V22	Full
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523801	SRS11572787	SRR17523801	Yoyo.O	Chimpanzee	Uganda	7	52	251.098348086708	43041		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523812	SRS11572776	SRR17523812	Rambo2.O	Chimpanzee	Uganda	7	52	250.895982900026	43041		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523815	SRS11572773	SRR17523815	Leo.O	Titi Monkey	USA	7	51	252.093530184741	64685		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523817	SRS11572772	SRR17523817	Lee.O	Titi Monkey	USA	7	50	252.294732618533	44861		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523818	SRS11572771	SRR17523818	Hermione.O	Titi Monkey	USA	7	51	252.094609196782	66632		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523819	SRS11572770	SRR17523819	Corey.O	Titi Monkey	USA	7	51	251.859585735168	72514		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523820	SRS11572769	SRR17523820	Ramona.O	Titi Monkey	USA	7	52	251.740884206915	69961		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523821	SRS11572768	SRR17523821	Eddie.O	Chimpanzee	Uganda	7	51	251.218036581491	44066		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523822	SRS11572767	SRR17523822	Aiden.O	Titi Monkey	USA	7	51	252.073728465956	39008		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523823	SRS11572766	SRR17523823	Natalie.O	Titi Monkey	USA	7	52	251.954993065995	85809		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523824	SRS11572765	SRR17523824	Mary.O	Titi Monkey	USA	7	51	251.931147881473	57776		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523825	SRS11572764	SRR17523825	Josh.O	Titi Monkey	USA	7	51	252.096512805672	41466		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523826	SRS11572763	SRR17523826	Dusty.O	Titi Monkey	USA	7	51	252.07851021056	75608		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523827	SRS11572762	SRR17523827	Gabby.O	Titi Monkey	USA	7	51	252.309716117361	63019		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523828	SRS11572761	SRR17523828	Buboo.O	Titi Monkey	USA	7	52	251.835516392792	62985		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523829	SRS11572760	SRR17523829	Elton.O	Titi Monkey	USA	7	52	252.028146263654	49527		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523830	SRS11572759	SRR17523830	Cristin.O	Titi Monkey	USA	7	51	251.981122021771	65685		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523831	SRS11572758	SRR17523831	Mickey.O	Titi Monkey	USA	7	51	252.156285131762	52481		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523832	SRS11572757	SRR17523832	Kalema.O	Chimpanzee	Uganda	7	52	251.205409029951	44740		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523833	SRS11572756	SRR17523833	Amanda.O	Titi Monkey	USA	7	50	252.47168020251	37924		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523834	SRS11572755	SRR17523834	Gomez.O	Titi Monkey	USA	7	51	252.199051303145	57131		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523835	SRS11572754	SRR17523835	Clarice.O	Titi Monkey	USA	7	51	252.094924192485	57646		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523838	SRS11572749	SRR17523838	Kityo.O	Chimpanzee	Uganda	7	52	250.795667595642	47364		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523844	SRS11573737	SRR17523844	Marsu.O	Sifaka	Madagascar	7	55	252.058917002811	65448		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523871	SRS11573059	SRR17523871	Mawa.O	Chimpanzee	Uganda	7	52	250.527044793808	54003		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523882	SRS11573048	SRR17523882	Okech.O	Chimpanzee	Uganda	7	53	250.828057939914	44736		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523883	SRS11573047	SRR17523883	Gilda.O	Titi Monkey	USA	7	51	252.22990844354	71759		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523885	SRS11573046	SRR17523885	Anthony.O	Titi Monkey	USA	7	50	252.273051862909	49573		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523886	SRS11573044	SRR17523886	Ed.O	Titi Monkey	USA	7	51	252.169697950596	49429		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523888	SRS11573043	SRR17523888	Butters.O	Titi Monkey	USA	7	51	252.24339953078	60526		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523889	SRS11573041	SRR17523889	Ardis.O	Titi Monkey	USA	7	51	251.939928729	58930		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523890	SRS11573042	SRR17523890	Gordy.O	Titi Monkey	USA	7	51	252.31550952372	53393		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523891	SRS11573040	SRR17523891	Nagoti.O	Chimpanzee	Uganda	7	52	251.035783273089	52287		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523893	SRS11573037	SRR17523893	Berkie.O	Titi Monkey	USA	7	52	252.02207293666	62520		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523894	SRS11573038	SRR17523894	Alberto.O	Titi Monkey	USA	7	51	252.020808701821	67664		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523895	SRS11573036	SRR17523895	Weasly.O	Titi Monkey	USA	7	51	252.064743834089	70833		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523896	SRS11573035	SRR17523896	Penny.O	Titi Monkey	USA	7	51	251.818999189329	67845		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523897	SRS11573034	SRR17523897	Spock.O	Titi Monkey	USA	7	52	251.71777448526	58719		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523898	SRS11573033	SRR17523898	Starbuck.O	Titi Monkey	USA	7	52	251.923432499704	16874		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523899	SRS11573032	SRR17523899	Wolf.O	Titi Monkey	USA	7	50	252.196564358441	54313		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523900	SRS11573031	SRR17523900	Edison.O	Titi Monkey	USA	7	50	251.982895626034	42913		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523901	SRS11573029	SRR17523901	Gus.O	Titi Monkey	USA	7	50	252.268661747631	53398		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523902	SRS11573030	SRR17523902	Nicole.O	Titi Monkey	USA	7	50	252.340462261437	52135		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523903	SRS11573027	SRR17523903	Ikuru.O	Chimpanzee	Uganda	7	52	250.666813254469	45479		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523904	SRS11573028	SRR17523904	Elmer.O	Titi Monkey	USA	7	50	252.020653786777	66719		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523905	SRS11573026	SRR17523905	Megan.O	Chimpanzee	Uganda	7	52	250.931154239019	24475		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523906	SRS11573025	SRR17523906	Clint.O	Titi Monkey	USA	7	50	252.354926918194	61438		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523907	SRS11573024	SRR17523907	Abe.O	Titi Monkey	USA	7	52	251.703369110273	72393		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523908	SRS11573023	SRR17523908	Logan.O	Titi Monkey	USA	7	52	251.866007952765	74691		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523909	SRS11573022	SRR17523909	Johnny.O	Titi Monkey	USA	7	50	252.240986648234	27487		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523915	SRS11573015	SRR17523915	Sally.O	Chimpanzee	Uganda	7	52	250.556060223736	47556		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523926	SRS11573003	SRR17523926	Sophie.O	Chimpanzee	Uganda	7	52	250.668145415489	42829		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523938	SRS11572992	SRR17523938	Kisembo.O	Chimpanzee	Uganda	7	52	251.117753938821	40177		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523953	SRS11572978	SRR17523953	Sunday.O	Chimpanzee	Uganda	7	52	250.842758414104	46737		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523964	SRS11572967	SRR17523964	Balaku.O	Chimpanzee	Uganda	7	53	250.725195370462	60654		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523970	SRS11572960	SRR17523970	Becky.O	Chimpanzee	Uganda	7	53	250.220729614526	54193		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523980	SRS11572949	SRR17523980	Billi.O	Chimpanzee	Uganda	7	52	250.800114559254	48883		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17523999	SRS11572933	SRR17523999	Katie.O	Chimpanzee	Uganda	7	53	250.358026362086	36947		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524053	SRS11572875	SRR17524053	Hira.O	Sifaka	Madagascar	7	55	251.382107791768	62027		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524054	SRS11572874	SRR17524054	Isaac.O	Sifaka	Madagascar	7	54	251.516490765171	75800		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524055	SRS11572873	SRR17524055	Sherlock.O	Sifaka	Madagascar	7	53	252.133217612083	77197		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524056	SRS11572872	SRR17524056	Vary.O	Sifaka	Madagascar	7	53	246.404761904762	84		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524057	SRS11572871	SRR17524057	Hester.O	Sifaka	Madagascar	7	54	251.831022965232	57783		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524065	SRS11573296	SRR17524065	Umutama.O	Chimpanzee	Uganda	7	51	251.139426472666	56632		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524077	SRS11573285	SRR17524077	Peace.O	Chimpanzee	Uganda	7	51	250.996553134311	51351		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524088	SRS11573275	SRR17524088	Rambo1.O	Chimpanzee	Uganda	7	53	250.790845668887	50599		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524092	SRS11573269	SRR17524092	F.Bw.O	Mangabey	USA	7	52	250.657421068162	33890		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524093	SRS11573270	SRR17524093	F.Bz.O	Mangabey	USA	7	52	250.623536299766	34160		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524094	SRS11573268	SRR17524094	Maisko.O	Chimpanzee	Uganda	7	53	250.446246413771	50192		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524095	SRS11573267	SRR17524095	F.Fu.O	Mangabey	USA	7	53	250.673580502982	26999		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524096	SRS11573266	SRR17524096	F.Jm.O	Mangabey	USA	7	51	250.856440429822	36201		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524097	SRS11573265	SRR17524097	F.La1.O	Mangabey	USA	7	50	251.332898106764	39826		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524098	SRS11573264	SRR17524098	F.Jz.O	Mangabey	USA	7	51	250.85835905437	58966		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524105	SRS11573256	SRR17524105	Afrika.O	Chimpanzee	Uganda	7	53	250.420499068382	57427		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524122	SRS11573243	SRR17524122	Kaza.O	Chimpanzee	Uganda	7	53	250.841097797444	40226		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524129	SRS11573231	SRR17524129	Connie.O	Chimpanzee	Uganda	7	53	250.415454653958	58649		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524141	SRS11573221	SRR17524141	Surprise.O	Chimpanzee	Uganda	7	53	250.413390356685	46063		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524155	SRS11572944	SRR17524155	Kidogo.O	Chimpanzee	Uganda	7	52	251.293455667765	47629		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524195	SRS11573169	SRR17524195	2008-05.O	Sifaka	Madagascar	7	53	252.956378798813	49884		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524196	SRS11573168	SRR17524196	2008-04.O	Sifaka	Madagascar	7	53	252.083604273107	64590		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524198	SRS11573165	SRR17524198	2008-03.O	Sifaka	Madagascar	7	53	252.093036144161	57741		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524199	SRS11573166	SRR17524199	2008-02.O	Sifaka	Madagascar	7	53	251.732454233686	41406		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524200	SRS11573164	SRR17524200	2008-01.O	Sifaka	Madagascar	7	53	251.975811148799	29187		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524233	SRS11573131	SRR17524233	UMNYT.RO	Gibbon	USA	7	53	251.911877618175	85699		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524235	SRS11573129	SRR17524235	ELWood.RO	Gibbon	USA	7	53	251.160265005127	50716		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524244	SRS11573122	SRR17524244	Buba516.RO	Galago	South Africa	7	52	265.085265709221	27643		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524257	SRS11573108	SRR17524257	Verv716.RO	Vervet Monkey	South Africa	7	53	251.132703760982	30391		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524258	SRS11572815	SRR17524258	VerL616.RO	Vervet Monkey	South Africa	7	41	260.70641119648	31367		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524261	SRS11573105	SRR17524261	Verv915.RO	Vervet Monkey	South Africa	7	54	251.928945966408	35663		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524266	SRS11573104	SRR17524266	Verv815.RO	Vervet Monkey	South Africa	7	53	251.054614412137	39550		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524281	SRS11573519	SRR17524281	Mika.O	Chimpanzee	Uganda	7	52	251.224241056314	44305		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524294	SRS11573507	SRR17524294	Natasha.O	Chimpanzee	Uganda	7	53	250.342770492651	58033		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524305	SRS11573495	SRR17524305	Namukisa.O	Chimpanzee	Uganda	7	52	251.160962594284	38978		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524312	SRS11573489	SRR17524312	Baron.O	Chimpanzee	Uganda	7	53	250.547590812063	54811		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524323	SRS11573479	SRR17524323	Tumbo.O	Chimpanzee	Uganda	7	53	250.687619233968	40886		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524332	SRS11573470	SRR17524332	Indi.O	Chimpanzee	Uganda	7	52	251.264207980653	39696		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524346	SRS11573459	SRR17524346	Cindy.O	Chimpanzee	Uganda	7	52	251.337329271888	50885		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524352	SRS11573449	SRR17524352	EQ.O	Mangabey	USA	7	51	252.263074025786	27612		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524353	SRS11573448	SRR17524353	DZ.O	Mangabey	USA	7	51	252.313207923756	40082		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524354	SRS11573450	SRR17524354	Robbie.O	Chimpanzee	Uganda	7	52	250.721612606951	41374		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524355	SRS11573447	SRR17524355	Ba1.O	Mangabey	USA	7	51	252.320972729175	43013		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524356	SRS11573446	SRR17524356	F.Lt.O	Mangabey	USA	7	52	250.707473342181	43702		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524357	SRS11573445	SRR17524357	F.Lz.O	Mangabey	USA	7	51	250.878366952531	41395		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524358	SRS11573444	SRR17524358	F.Uy.O	Mangabey	USA	7	51	250.792737835875	34425		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524359	SRS11573443	SRR17524359	F.Pz.O	Mangabey	USA	7	51	250.910144624863	38306		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524360	SRS11573442	SRR17524360	F.Vr.O	Mangabey	USA	7	51	250.73156777706	43348		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524361	SRS11573440	SRR17524361	F.Zm.O	Mangabey	USA	7	53	250.58151559218	61890		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524362	SRS11573441	SRR17524362	F.Ou.O	Mangabey	USA	7	51	251.011041790454	40392		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524363	SRS11573439	SRR17524363	Nkuumwa.O	Chimpanzee	Uganda	7	52	250.614744501129	47828		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524364	SRS11573437	SRR17524364	F.Vq.O	Mangabey	USA	7	51	250.740039621396	31801		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524365	SRS11573438	SRR17524365	F.Vz.O	Mangabey	USA	7	52	250.595893098487	45874		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524366	SRS11573436	SRR17524366	F.Zr.O	Mangabey	USA	7	51	250.821448944666	43825		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524367	SRS11573435	SRR17524367	F.Ly.O	Mangabey	USA	7	52	250.493004324599	39310		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524368	SRS11573432	SRR17524368	F.Ak.O	Mangabey	USA	7	51	250.918433719266	38435		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524369	SRS11573434	SRR17524369	F.Ay.O	Mangabey	USA	7	51	250.894773519164	43050		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524370	SRS11573433	SRR17524370	F.Az.O	Mangabey	USA	7	51	250.805925557077	40165		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524371	SRS11573271	SRR17524371	F.Ba1.O	Mangabey	USA	7	53	250.497197350222	68685		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524378	SRS11573426	SRR17524378	Rutoto.O	Chimpanzee	Uganda	7	52	250.854643295465	31777		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524389	SRS11573414	SRR17524389	Pasa.O	Chimpanzee	Uganda	7	52	251.120069605568	27584		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524398	SRS11573405	SRR17524398	61.03.O	Howler Monkey	Guatemala	7	53	252.584907847456	43135		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524399	SRS11573404	SRR17524399	61.02.O	Howler Monkey	Guatemala	7	53	252.244395405988	39878		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524400	SRS11573403	SRR17524400	61.01.O	Howler Monkey	Guatemala	7	53	252.503737515442	47759		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524401	SRS11573407	SRR17524401	61.04.O	Howler Monkey	Guatemala	7	52	252.411741427873	42959		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524402	SRS11573402	SRR17524402	60.02.O	Howler Monkey	Guatemala	7	53	252.429959122676	45502		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524403	SRS11573401	SRR17524403	60.01.O	Howler Monkey	Guatemala	7	53	252.283616820876	36098		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524418	SRS11573383	SRR17524418	9B-M	Galago	Tanzania	7	53	249.194913736493	33502		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524420	SRS11573384	SRR17524420	5B-M	Galago	Tanzania	7	53	248.985309548793	38120		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524421	SRS11573381	SRR17524421	23B-M	Galago	Tanzania	7	53	249.712559434681	38067		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524423	SRS11573379	SRR17524423	20bB-M	Galago	Tanzania	7	53	250.095679629112	25021		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524424	SRS11573378	SRR17524424	1B-M	Galago	Tanzania	7	52	253.554734031629	24345		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524425	SRS11573377	SRR17524425	17B-M	Galago	Tanzania	7	53	249.624097545323	24932		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524426	SRS11573376	SRR17524426	13B-M	Galago	Tanzania	7	53	249.590158924205	32720		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524427	SRS11573380	SRR17524427	20aB-M	Galago	Tanzania	7	53	250.340166138768	16733		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524433	SRS11573369	SRR17524433	BubaL316.RO	Galago	South Africa	7	52	250.448235212537	28842		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524480	SRS11573319	SRR17524480	Verv216.RO	Vervet Monkey	South Africa	7	52	249.042909297805	21091		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524495	SRS11573736	SRR17524495	Velo.O	Sifaka	Madagascar	7	53	251.626838272377	49571		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524496	SRS11573735	SRR17524496	Louise.O	Sifaka	Madagascar	7	52	252.678234540585	42935		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524497	SRS11573734	SRR17524497	William.O	Sifaka	Madagascar	7	54	251.50185441997	62014		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524498	SRS11573733	SRR17524498	Achilles.O	Sifaka	Madagascar	7	52	252.424506297621	32155		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524501	SRS11573730	SRR17524501	Vanilla.O	Sifaka	Madagascar	7	51	252.535592422638	42495		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524502	SRS11573728	SRR17524502	Max.O	Titi Monkey	USA	7	50	252.123675138642	46703		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524503	SRS11573729	SRR17524503	Ted.O	Titi Monkey	USA	7	52	251.958510136728	10605		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524504	SRS11573727	SRR17524504	Gunther.O	Titi Monkey	USA	7	50	252.242549061383	42243		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524505	SRS11573726	SRR17524505	Georgette.O	Titi Monkey	USA	7	51	252.00455523219	39515		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524506	SRS11573725	SRR17524506	Buffy.O	Titi Monkey	USA	7	51	252.168093312012	42524		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524507	SRS11573723	SRR17524507	Ringo.O	Titi Monkey	USA	7	50	252.241602828521	42425		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524508	SRS11573722	SRR17524508	Hans.O	Titi Monkey	USA	7	50	252.311443278196	54591		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524509	SRS11573724	SRR17524509	Zach.O	Titi Monkey	USA	7	51	252.065275528268	53098		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524510	SRS11573721	SRR17524510	Winnie.O	Titi Monkey	USA	7	51	252.185590652215	73258		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524511	SRS11573720	SRR17524511	Arthur.O	Titi Monkey	USA	7	51	252.095005569713	65533		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524512	SRS11573719	SRR17524512	Umugenzi.O	Chimpanzee	Uganda	7	52	251.237818149514	45026		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524513	SRS11573717	SRR17524513	Bebe.O	Titi Monkey	USA	7	51	252.24256404486	53322		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524514	SRS11573718	SRR17524514	Garrett.O	Titi Monkey	USA	7	52	251.825335397317	38760		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524515	SRS11573716	SRR17524515	Callie.O	Titi Monkey	USA	7	52	251.891032737625	50584		NHP oral swab
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRR17524516	SRS11573715	SRR17524516	Marjorine.O	Titi Monkey	USA	7	52	251.79956864122	59811		NHP oral swab
