Study	Study_accession	Sample_type	Sample_group	Eager_label	Secondary_sample_accession	Run_accession	Sample_alias	Host	Country	Age_BP	avg_gc	avg_rl	No_reads_no_human	V22	Full
Brito2016	PRJNA217052	saliva	industrial	SRS476214	SRS476214	SRR2228318		Human	Fiji	7	47	113.796470610975	155211		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476827	SRS476827	SRR2228319		Human	Fiji	7	44	114.324376816686	301717		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476017	SRS476017	SRR2228320		Human	Fiji	7	42	115.336937702647	63534		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476049	SRS476049	SRR2228322		Human	Fiji	7	42	114.214495671727	136082		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476049	SRS476049	SRR2228323		Human	Fiji	7	42	114.214495671727	136082		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476049	SRS476049	SRR2228324		Human	Fiji	7	42	114.214495671727	136082		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476207	SRS476207	SRR2228325		Human	Fiji	7	44	108.749485384932	170030		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475605	SRS475605	SRR2228326		Human	Fiji	7	44	115.223532427583	74119		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475704	SRS475704	SRR2228327		Human	Fiji	7	43	116.546074500876	99274		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476109	SRS476109	SRR2228328		Human	Fiji	7	43	115.076274424885	39253		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475704	SRS475704	SRR2228330		Human	Fiji	7	43	116.546074500876	99274		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475650	SRS475650	SRR2228331		Human	Fiji	7	42	115.206290745081	50773		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476150	SRS476150	SRR2228332		Human	Fiji	7	45	104.097851153546	103637		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476110	SRS476110	SRR2228333		Human	Fiji	7	45	107.904903157389	199912		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475650	SRS475650	SRR2228335		Human	Fiji	7	42	115.206290745081	50773		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475965	SRS475965	SRR2228336		Human	Fiji	7	42	114.267605397281	119097		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476214	SRS476214	SRR2228337		Human	Fiji	7	47	113.796470610975	155211		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476049	SRS476049	SRR2228338		Human	Fiji	7	42	114.214495671727	136082		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475543	SRS475543	SRR2228339		Human	Fiji	7	43	115.350120817751	99737		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476294	SRS476294	SRR2228340		Human	Fiji	7	42	115.128988458927	61866		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476053	SRS476053	SRR2228341		Human	Fiji	7	41	115.633106501599	121970		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475650	SRS475650	SRR2228342		Human	Fiji	7	42	115.206290745081	50773		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475653	SRS475653	SRR2228343		Human	Fiji	7	41	115.323518272291	124095		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476827	SRS476827	SRR2228344		Human	Fiji	7	44	114.324376816686	301717		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476017	SRS476017	SRR2228347		Human	Fiji	7	42	115.336937702647	63534		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475650	SRS475650	SRR2228348		Human	Fiji	7	42	115.206290745081	50773		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475704	SRS475704	SRR2228351		Human	Fiji	7	43	116.546074500876	99274		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476311	SRS476311	SRR2228353		Human	Fiji	7	48	110.198615315033	143715		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475650	SRS475650	SRR2228354		Human	Fiji	7	42	115.206290745081	50773		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476214	SRS476214	SRR2228356		Human	Fiji	7	47	113.796470610975	155211		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476827	SRS476827	SRR2228358		Human	Fiji	7	44	114.324376816686	301717		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475704	SRS475704	SRR2228359		Human	Fiji	7	43	116.546074500876	99274		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475983	SRS475983	SRR2228361		Human	Fiji	7	42	115.128453458012	98814		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476150	SRS476150	SRR2228362		Human	Fiji	7	45	104.097851153546	103637		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476017	SRS476017	SRR2228363		Human	Fiji	7	42	115.336937702647	63534		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475650	SRS475650	SRR2228364		Human	Fiji	7	42	115.206290745081	50773		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475593	SRS475593	SRR2228365		Human	Fiji	7	42	113.629918263475	126137		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475677	SRS475677	SRR2228366		Human	Fiji	7	42	115.355877080019	198015		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475650	SRS475650	SRR2228367		Human	Fiji	7	42	115.206290745081	50773		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475697	SRS475697	SRR2228368		Human	Fiji	7	43	115.303639296034	267854		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476311	SRS476311	SRR2228370		Human	Fiji	7	48	110.198615315033	143715		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476311	SRS476311	SRR2228371		Human	Fiji	7	48	110.198615315033	143715		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476053	SRS476053	SRR2228374		Human	Fiji	7	41	115.633106501599	121970		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476827	SRS476827	SRR2228375		Human	Fiji	7	44	114.324376816686	301717		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476150	SRS476150	SRR2228378		Human	Fiji	7	45	104.097851153546	103637		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475973	SRS475973	SRR2228379		Human	Fiji	7	47	92.7803943120148	291140		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476049	SRS476049	SRR2228381		Human	Fiji	7	42	114.214495671727	136082		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475595	SRS475595	SRR2228382		Human	Fiji	7	43	115.802806763921	326497		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475704	SRS475704	SRR2228383		Human	Fiji	7	43	116.546074500876	99274		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476007	SRS476007	SRR2228387		Human	Fiji	7	43	113.447325497195	136717		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475593	SRS475593	SRR2228388		Human	Fiji	7	42	113.629918263475	126137		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476049	SRS476049	SRR2228390		Human	Fiji	7	42	114.214495671727	136082		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476053	SRS476053	SRR2228392		Human	Fiji	7	41	115.633106501599	121970		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476827	SRS476827	SRR2228393		Human	Fiji	7	44	114.324376816686	301717		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475650	SRS475650	SRR2228394		Human	Fiji	7	42	115.206290745081	50773		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476053	SRS476053	SRR2228396		Human	Fiji	7	41	115.633106501599	121970		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476091	SRS476091	SRR2228397		Human	Fiji	7	43	115.419448685406	533815		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475650	SRS475650	SRR2228398		Human	Fiji	7	42	115.206290745081	50773		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476017	SRS476017	SRR2228399		Human	Fiji	7	42	115.336937702647	63534		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475547	SRS475547	SRR2228400		Human	Fiji	7	44	116.112392415068	160687		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475650	SRS475650	SRR2228401		Human	Fiji	7	42	115.206290745081	50773		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475697	SRS475697	SRR2228402		Human	Fiji	7	43	115.303639296034	267854		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476053	SRS476053	SRR2228403		Human	Fiji	7	41	115.633106501599	121970		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475983	SRS475983	SRR2228404		Human	Fiji	7	42	115.128453458012	98814		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476150	SRS476150	SRR2228405		Human	Fiji	7	45	104.097851153546	103637		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475543	SRS475543	SRR2228406		Human	Fiji	7	43	115.350120817751	99737		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476827	SRS476827	SRR2228407		Human	Fiji	7	44	114.324376816686	301717		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475650	SRS475650	SRR2228408		Human	Fiji	7	42	115.206290745081	50773		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475697	SRS475697	SRR2228409		Human	Fiji	7	43	115.303639296034	267854		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476150	SRS476150	SRR2228411		Human	Fiji	7	45	104.097851153546	103637		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475650	SRS475650	SRR2228412		Human	Fiji	7	42	115.206290745081	50773		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476007	SRS476007	SRR2228413		Human	Fiji	7	43	113.447325497195	136717		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476207	SRS476207	SRR2228414		Human	Fiji	7	44	108.749485384932	170030		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476207	SRS476207	SRR2228415		Human	Fiji	7	44	108.749485384932	170030		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476311	SRS476311	SRR2228416		Human	Fiji	7	48	110.198615315033	143715		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476311	SRS476311	SRR2228419		Human	Fiji	7	48	110.198615315033	143715		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476207	SRS476207	SRR2228420		Human	Fiji	7	44	108.749485384932	170030		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476000	SRS476000	SRR2228421		Human	Fiji	7	44	114.905083319981	149784		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475593	SRS475593	SRR2228423		Human	Fiji	7	42	113.629918263475	126137		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476170	SRS476170	SRR2228424		Human	Fiji	7	48	113.94334248278	328253		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476005	SRS476005	SRR2228425		Human	Fiji	7	40	113.744262984057	185593		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476105	SRS476105	SRR2228427		Human	Fiji	7	43	109.913083051385	369157		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476138	SRS476138	SRR2228429		Human	Fiji	7	42	111.685823452504	88724		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475699	SRS475699	SRR2228430		Human	Fiji	7	43	114.536306586118	392477		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475697	SRS475697	SRR2228431		Human	Fiji	7	43	115.303639296034	267854		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475654	SRS475654	SRR2228432		Human	Fiji	7	42	114.833605803617	39148		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476011	SRS476011	SRR2228435		Human	Fiji	7	43	109.601992459549	76388		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475927	SRS475927	SRR2228437		Human	Fiji	7	41	113.483044511644	89617		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476190	SRS476190	SRR2228438		Human	Fiji	7	42	113.453538895283	112083		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476053	SRS476053	SRR2228440		Human	Fiji	7	41	115.633106501599	121970		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475600	SRS475600	SRR2228441		Human	Fiji	7	42	114.272880031262	102360		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476006	SRS476006	SRR2228442		Human	Fiji	7	43	113.095816971146	234280		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476105	SRS476105	SRR2228443		Human	Fiji	7	43	109.913083051385	369157		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475596	SRS475596	SRR2228444		Human	Fiji	7	42	110.359199058846	41651		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475592	SRS475592	SRR2228445		Human	Fiji	7	43	112.650294417029	77611		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475954	SRS475954	SRR2228447		Human	Fiji	7	43	114.96653053311	639568		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475983	SRS475983	SRR2228448		Human	Fiji	7	42	115.128453458012	98814		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475965	SRS475965	SRR2228449		Human	Fiji	7	42	114.267605397281	119097		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476017	SRS476017	SRR2228450		Human	Fiji	7	42	115.336937702647	63534		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476057	SRS476057	SRR2228454		Human	Fiji	7	42	115.319468971473	257086		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476017	SRS476017	SRR2228455		Human	Fiji	7	42	115.336937702647	63534		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475649	SRS475649	SRR2228456		Human	Fiji	7	44	114.693383963584	596218		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475677	SRS475677	SRR2228482		Human	Fiji	7	42	115.355877080019	198015		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476162	SRS476162	SRR2228483		Human	Fiji	7	42	113.123454370324	178568		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475616	SRS475616	SRR2228492		Human	Fiji	7	42	114.293816064308	31598		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475595	SRS475595	SRR2228494		Human	Fiji	7	43	115.802806763921	326497		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476207	SRS476207	SRR2228495		Human	Fiji	7	44	108.749485384932	170030		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475918	SRS475918	SRR2228496		Human	Fiji	7	42	114.879231745025	100904		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476282	SRS476282	SRR2228497		Human	Fiji	7	42	114.882618228632	248565		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476138	SRS476138	SRR2228498		Human	Fiji	7	42	111.685823452504	88724		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476852	SRS476852	SRR2228499		Human	Fiji	7	41	108.071465243845	9690039		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476109	SRS476109	SRR2228500		Human	Fiji	7	43	115.076274424885	39253		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475591	SRS475591	SRR2228501		Human	Fiji	7	41	113.032087148556	114563		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476268	SRS476268	SRR2228503		Human	Fiji	7	46	114.842963322158	119609		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476081	SRS476081	SRR2228504		Human	Fiji	7	43	115.394299257781	80165		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475973	SRS475973	SRR2228505		Human	Fiji	7	47	92.7803943120148	291140		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476006	SRS476006	SRR2228509		Human	Fiji	7	43	113.095816971146	234280		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476086	SRS476086	SRR2228510		Human	Fiji	7	42	115.037116272752	88344		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475918	SRS475918	SRR2228512		Human	Fiji	7	42	114.879231745025	100904		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475593	SRS475593	SRR2228513		Human	Fiji	7	42	113.629918263475	126137		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476109	SRS476109	SRR2228516		Human	Fiji	7	43	115.076274424885	39253		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476170	SRS476170	SRR2228517		Human	Fiji	7	48	113.94334248278	328253		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476268	SRS476268	SRR2228519		Human	Fiji	7	46	114.842963322158	119609		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476038	SRS476038	SRR2228520		Human	Fiji	7	41	113.545983862094	152684		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476852	SRS476852	SRR2228521		Human	Fiji	7	41	108.071465243845	9690039		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475961	SRS475961	SRR2228522		Human	Fiji	7	40	115.804542450279	49929		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475622	SRS475622	SRR2228523		Human	Fiji	7	42	115.319240693625	55419		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475591	SRS475591	SRR2228524		Human	Fiji	7	41	113.032087148556	114563		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475601	SRS475601	SRR2228526		Human	Fiji	7	43	115.788989400698	160954		Saliva - Industrial
