primary_cluster	cluster_type	HOMD
1053	H	no
1054	P	no
1055	H	no
1056	H	no
1057	H	no
1058	H	HOMD
1059	H	no
1060	H	no
1061	H	no
1062	H	no
1063	H	no
1064	H	no
1065	H	no
1066	H	no
1067	H	no
1068	H	no
1069	H	no
1070	H	no
1071	H	no
1072	H	no
1073	H	no
1074	H	no
1075	H	HOMD
1076	H-G	HOMD
1077	H	no
1078	H	no
1079	H	no
1080	H	HOMD
1081	H	no
1082	H	no
1083	H	no
1084	H	no
1085	H	no
1086	H	no
1087	H	no
1088	H	no
1089	H	no
1090	H	no
1091	H	no
1092	H	no
1093	H	no
1094	H	no
1095	H	no
1096	H	no
1097	H	no
1098	H	no
1099	H	no
1100	H	no
1101	H	no
1102	H	no
1103	H	no
1104	H	no
1105	H	no
1106	H	HOMD
1107	H	no
1108	H	HOMD
1109	H	HOMD
1110	H	HOMD
1111	H	no
1112	H	no
1113	H	no
1114	H	no
1115	H	no
1116	H	no
1117	H	no
1118	H	no
1119	H	no
1120	H	no
1121	H	no
1122	H	no
1123	H	no
1124	H	no
1125	H	no
1126	H	no
1127	H	no
1128	H	no
1129	H	no
1130	H	no
1131	G	no
1132	H	no
1133	H	no
1134	H	no
1135	H	no
1136	H	no
1137	H	no
1138	H	no
1139	H	no
1140	H	no
1141	H	no
1142	H	no
1143	H	no
1144	H	no
1145	H	no
1146	H	no
1147	H	no
1148	H	no
1149	H	no
1150	H	no
1151	H	no
1152	H	no
1153	H	no
1154	H	no
1155	H	no
1156	H	no
1157	H	no
1158	H	no
1159	H	no
1160	H	no
1161	U	no
1162	U	no
1163	H	no
1164	H	no
1165	H	HOMD
1166	H	HOMD
1167	H	no
1168	H	no
1169	H	no
1170	H-P	no
1171	H	no
1172	G	no
1173	U	no
1174	H	no
1175	N-U	no
1176	U	no
1177	R	no
1178	G	no
1179	N-U	no
1180	U	no
1181	U	no
1182	G	no
1183	H	no
1184	U	no
1185	U	no
1186	H	HOMD
1187	H-P-Po	no
1188	H-P	HOMD
1189	H-N	no
1190	H-N	no
1191	U	no
1192	U	no
1193	U	no
1194	H	no
1195	H	no
1196	H	no
1197	H	no
1198	H	no
1199	H	no
1200	H	no
1201	U	no
1202	U	no
1203	U	no
1204	H	no
1205	H	no
1206	H	no
1207	H	no
1208	H	no
1209	H	no
1210	H	no
1211	H	no
1212	H-U	no
1213	H	HOMD
1214	G-U	no
1215	G	no
1216	Env	no
1217	U	no
1218	H-P-G	no
1219	Env	no
1220	P	no
1221	H-G	HOMD
1222	H	HOMD
1223	U	no
1224	H	no
1225	Env	no
1226	U	no
1227	H	no
1228	H	no
1229	H	HOMD
1230	H	no
1231	H-G	HOMD
1232	H	no
1233	H	no
1234	H	HOMD
1235	H	no
1236	H	no
1237	H	no
1238	H	no
1239	H	HOMD
1240	P	no
1241	H	no
1242	H	no
1243	P	no
1244	H-G	no
1245	H	no
1246	P	no
1247	P	no
1248	H	no
1249	H	no
1250	H	no
1251	H	no
1252	H	HOMD
1253	H	no
1254	H	no
1255	H	no
1256	H-N-P	HOMD
1257	H	no
1258	P	no
1259	G	no
1260	H-A	HOMD
1261	H	no
1262	P	no
1263	H	HOMD
1264	H	no
1265	H	no
1266	H	HOMD
1267	H	no
1268	H	no
1269	H-U	no
1270	P	no
1271	H	no
1272	U	no
1273	H	no
1274	H	no
1275	H-G	no
1276	G-U	no
1277	H	no
1278	U	no
1279	U	no
1280	U	no
1281	U	no
1282	N	no
1283	H	no
1284	H-P	no
1285	H	no
1286	H-N-P-Po	no
1287	U	no
1288	H	no
1289	H	no
1290	H	no
1291	A	no
1292	H	no
1293	H	no
1294	H	no
1295	H	no
1296	H	no
1297	H	no
1298	H	no
1299	H	no
1300	H	no
1301	H	no
1302	H	no
1303	H	no
1304	H	no
1305	H	no
1306	H	HOMD
1307	H	no
1308	H	no
1309	H	no
1310	H	no
1311	H	no
1312	H	no
1313	H	no
1314	H	no
1315	H	no
1316	H	no
1317	H	no
1318	H	no
1319	H	no
1320	H	no
1321	H	no
1322	H	no
1323	H	no
1324	H	no
1325	H	no
1326	H	no
1327	P	no
1328	H	HOMD
1329	H	no
1330	H	no
1331	A	no
1332	H	no
1333	H	no
1334	H	no
1335	H	no
1336	H	HOMD
1337	H	no
1338	H	no
1339	H	no
1340	H	no
1341	H	no
1342	H	no
1343	H	no
1344	H	no
1345	H	no
1346	H	no
1347	H	no
1348	H	no
1349	H	no
1350	H	no
1351	H	no
1352	H	no
1353	H	no
1354	H	no
1355	H	no
1356	H	no
1357	H	no
1358	H	no
1359	H	no
1360	H	no
1361	H	no
1362	H	no
1363	H	HOMD
1364	H	no
1365	H	no
1366	H	no
1367	H	HOMD
1368	H	no
1369	H	no
1370	H	no
1371	H	no
1372	H	no
1373	H	no
1374	H	no
1375	H	no
1376	H	no
1377	H	no
1378	H	HOMD
1379	H	no
1380	H	no
1381	H	no
1382	H	no
1383	H	no
1384	H	no
1385	H	no
1386	H	no
1387	H	no
1388	H	HOMD
1389	H	no
1390	H	HOMD
1391	H	no
1392	H	no
1393	H	no
1394	H	no
1395	H	no
1396	H	no
1397	H	no
1398	H	no
1399	H	no
1400	P	no
1401	H	no
1402	H	no
1403	H	HOMD
1404	H	no
1405	H	no
1406	H	no
1407	H	HOMD
1408	H	HOMD
1409	H	HOMD
1410	H	no
1411	H	no
1412	H	HOMD
1413	H	HOMD
1414	H	HOMD
1415	H	HOMD
1416	H	no
1417	H	HOMD
1418	H	HOMD
1419	H	no
1420	H	no
1421	H	no
1422	H	no
1423	H	no
1424	H	no
1425	H	no
1426	H	no
1427	H	no
1428	H	no
1429	H	no
1430	H	no
1431	H	no
1432	H	no
1433	H	no
1434	H	no
1435	H	no
1436	H	no
1437	H	no
1438	H	no
1439	H	no
1440	H	no
1441	H	no
1442	H	no
1443	H	no
1444	H	no
1445	H	no
1446	H	no
1447	H	no
1448	H	no
1449	H	no
1450	H	no
1451	H	no
1452	H	no
1453	H	no
1454	H	no
1455	H	no
1456	H	no
1457	H	no
1458	H	no
1459	H	no
1460	H	no
1461	H	no
1462	H	no
1463	H	no
1464	H	no
1465	H	no
1466	H	no
1467	H	no
1468	H	no
1469	H	no
1470	H	no
1471	H	no
1472	H	no
1473	H	no
1474	H	no
1475	H	no
1476	H	no
1477	H	no
1478	H	no
1479	H	no
1480	H	no
1481	H	no
1482	H	no
1483	H	no
1484	H	no
1485	H	HOMD
1486	H	no
1487	H	no
1488	H	no
1489	H	no
1490	H	no
1491	H	no
1492	H	no
1493	H	no
1494	H	no
1495	H	no
1496	H	HOMD
1497	H	no
1498	H	no
1499	H	no
1500	H	no
1501	H	no
1502	H	no
1503	H	no
1504	H	no
1505	H	no
1506	H	no
1507	H	no
1508	H	no
1509	H	no
1510	H	no
1511	H	no
1512	H	no
1513	H	no
1514	H	no
1515	H	no
1516	H	no
1517	H	no
1518	H	no
1519	H	no
1520	H	no
1521	H	no
1522	H	no
1523	H	no
1524	H	no
1525	H	no
1526	H	no
1527	H	no
1528	H	no
1529	H	no
1530	H	no
1531	H	no
1532	H	no
1533	H	no
1534	H	no
1535	H	no
1536	H	no
1537	H	no
1538	H	no
1539	H	no
1540	H	no
1541	H	no
1542	H	no
1543	N	no
1544	U	no
1545	G	no
1546	G-U	no
1547	Env	no
1548	U	no
1549	G-U	no
1550	U	no
1551	U	no
1552	G	no
1553	G-U	no
1554	U	no
1555	G	no
1556	G	no
1557	U	no
1558	H	no
1559	H	no
1560	H	no
1561	U	no
1562	H	no
1563	U	no
1564	U	no
1565	Env	no
1566	G	no
1567	A	no
1568	H	no
1569	A	no
1570	H-P	no
1571	H	no
1572	G	no
1573	U	no
1574	A	no
1575	H	no
1576	H	no
1577	G	no
1578	U	no
1579	H-P	HOMD
1580	H	no
1581	H	no
1582	H	no
1583	P	no
1584	Env	no
1585	H	no
1586	H	no
1587	H	no
1588	H	no
1589	H	no
1590	H	no
1591	H	no
1592	H	no
1593	H	no
1594	H	no
1595	H	no
1596	N	no
1597	H	HOMD
1598	H	no
1599	U	no
1600	H	HOMD
1601	H	HOMD
1602	H	HOMD
1603	U	no
1604	H	no
1605	H	no
1606	H	no
1607	H	no
1608	H	no
1609	H	no
1610	H	no
1611	H	no
1612	H	no
1613	H	no
1614	H	no
1615	H	no
1616	H	no
1617	H	no
1618	H	no
1619	H	no
1620	H	no
1621	H	no
1622	H	no
1623	H	no
1624	H	no
1625	H	no
1626	H	no
1627	H	no
1628	H	no
1629	H	no
1630	U	no
1631	H	no
1632	H	no
1633	H	no
1634	H	no
1635	H	no
1636	H	no
1637	H	no
1638	H	HOMD
1639	H	HOMD
1640	H	no
1641	H	no
1642	H	HOMD
1643	H	no
1644	H	no
1645	H	no
1646	H	HOMD
1647	H	HOMD
1648	H	no
1649	H	no
1650	H	no
1651	Env	no
1652	Env	no
1653	H	no
1654	H	no
1655	U	no
1656	H	no
1657	H	no
1658	H	no
1659	H	no
1660	H	no
1661	H	no
1662	H	no
1663	H	HOMD
1664	H	HOMD
1665	H	no
1666	H	no
1667	H	no
1668	H	no
1669	H	no
1670	H	no
1671	H	no
1672	H	no
1673	H	no
1674	H	no
1675	H	no
1676	H	no
1677	H	no
1678	H	no
1679	H	no
1680	H	no
1681	H	no
1682	H	no
1683	H	no
1684	H	no
1685	H	no
1686	H	no
1687	H	no
1688	H	no
1689	H	no
1690	H	no
1691	H	HOMD
1692	H	HOMD
1693	H	no
1694	H	no
1695	H	no
1696	H	no
1697	H	no
1698	H	no
1699	H	no
1700	H	no
1701	H	no
1702	H	no
1703	H	no
1704	H	no
1705	H	no
1706	H	no
1707	H	no
1708	H	no
1709	H	no
1710	H	no
1711	H	no
1712	H	no
1713	H	no
1714	H	no
1715	H	no
1716	H	no
1717	H	no
1718	U	no
1719	P	no
1720	H	HOMD
1721	H	no
1722	H	no
1723	H	HOMD
1724	H	no
1725	H	no
1726	H	HOMD
1727	H	no
1728	H	no
1729	H	no
1730	H	no
1731	H	no
1732	H	HOMD
1733	H	no
1734	H	no
1735	H	no
1736	H	HOMD
1737	H	no
1738	H	no
1739	H	no
1740	H	no
1741	H	no
1742	H	no
1743	H	no
1744	H	no
1745	H	no
1746	H	no
1747	H	no
1748	A	no
1749	A	no
1750	H	no
1751	H	no
1752	Env	no
1753	H	no
1754	H	HOMD
1755	H	no
1756	H	no
1757	H	no
1758	H	no
1759	H	HOMD
1760	H	HOMD
1761	H	HOMD
1762	H	no
1763	H	HOMD
1764	H	no
1765	H	no
1766	H	no
1767	H	HOMD
1768	H	HOMD
1769	H	HOMD
1770	H	no
1771	H	HOMD
1772	H	HOMD
1773	H	no
1774	H	HOMD
1775	H	no
1776	H	HOMD
1777	H	no
1778	H	no
1779	H	no
1780	H	no
1781	H	no
1782	H	no
1783	H	no
1784	H	no
1785	H	HOMD
1786	H	no
1787	H	no
1788	N	no
1789	H	no
1790	H	no
1791	H	no
1792	H	no
1793	H	no
1794	H	no
1795	H	HOMD
1796	H	no
1797	H	no
1798	H	no
1799	H	no
1800	H	no
1801	H	no
1802	H	no
1803	A	no
1804	H	HOMD
1805	H	no
1806	H	HOMD
1807	H	no
1808	H	HOMD
1809	H	HOMD
1810	G	no
1811	H	no
1812	H	no
1813	H	no
1814	H	no
1815	U	no
1816	H	no
1817	H	no
1818	H	no
1819	H	no
1820	H	no
1821	G	no
1822	H	no
1823	H	no
1824	N	no
1825	H	no
1826	H	no
1827	H	no
1828	H	no
1829	H	HOMD
1830	H	no
1831	H	no
1832	H	no
1833	H	no
1834	H	no
1835	H	no
1836	H	no
1837	H	no
1838	U	no
1839	U	no
1840	H	no
1841	U	no
1842	U	no
1843	H	no
1844	H	no
1845	H	HOMD
1846	H	HOMD
1847	H	no
1848	U	no
1849	Env	no
1850	Env	no
1851	H	no
1852	H	no
1853	H	no
1854	H	no
1855	H	no
1856	H	HOMD
1857	H	no
1858	H	no
1859	H	HOMD
1860	H	no
1861	H	no
1862	H	no
1863	H	no
1864	H	no
1865	H	HOMD
1866	H	HOMD
1867	H	no
1868	H	no
1869	H	HOMD
1870	H	no
1871	H	HOMD
1872	H	no
1873	H	HOMD
1874	U	no
1875	G	no
1876	H	no
1877	H	no
1878	H	no
1879	H	no
1880	H	no
1881	H	no
1882	H	HOMD
1883	H	no
1884	H	no
1885	H	no
1886	H	no
1887	H	no
1888	H	no
1889	H	no
1890	H	no
1891	H	no
1892	H	no
1893	H	no
1894	H	no
1895	H	no
1896	H	no
1897	H	no
1898	H	no
1899	H	no
1900	H	no
1901	H	no
1902	H	no
1903	H	HOMD
1904	H	no
1905	H	no
1906	H	no
1907	H	no
1908	H	no
1909	H	no
1910	H	no
1911	H	no
1912	H	no
1913	H	no
1914	H	no
1915	H	no
1916	H	no
1917	H	no
1918	H	no
1919	H	no
1920	H	HOMD
1921	H	no
1922	H	no
1923	H	no
1924	H	no
1925	H	no
1926	H	no
1927	H	HOMD
1928	H	no
1929	H	no
1930	H	no
1931	H	no
1932	H	no
1933	H	no
1934	H	no
1935	H	no
1936	H	no
1937	H	no
1938	H	no
1939	H	HOMD
1940	H	no
1941	H	no
1942	H	no
1943	H	no
1944	H	no
1945	H	no
1946	H	no
1947	G	no
1948	H	HOMD
1949	H	no
1950	H	no
1951	H	no
1952	H	HOMD
1953	H	HOMD
1954	H	HOMD
1955	U	no
1956	H	HOMD
1957	N	no
1958	H	no
1959	H	HOMD
1960	H	no
1961	H	no
1962	H	no
1963	H	HOMD
1964	H	no
1965	H	no
1966	H	no
1967	H	no
1968	H	no
1969	H	no
1970	H	no
1971	H	no
1972	H	no
1973	H	no
1974	H	no
1975	H	no
1976	H	no
1977	H	no
1978	H	no
1979	H	no
1980	H	HOMD
1981	H	no
1982	H	HOMD
1983	H	no
1984	H	no
1985	H	no
1986	H	no
1987	H	no
1988	H	no
1989	H	no
1990	H	no
1991	H	no
1992	H	HOMD
1993	H	no
1994	H	HOMD
1995	H	no
1996	H	no
1997	H	no
1998	H	no
1999	H	no
2000	H	no
2001	H	no
2002	H	HOMD
2003	H	no
2004	H	no
2005	H	no
2006	H	no
2007	H	no
2008	H	no
2009	H	no
2010	H	no
2011	H	no
2012	H	no
2013	H	HOMD
2014	H	no
2015	H	no
2016	H	no
2017	H	HOMD
2018	H	no
2019	H	no
2020	H	no
2021	H	no
2022	H	no
2023	H	no
2024	H	no
2025	H	no
2026	H	no
2027	H	no
2028	H	no
