Sample	MAG_accession	site
RDPYD18089017	GWHAQIA00000000	tongue
RDPYD18089017	GWHAQIB00000000	tongue
RDPYD18089017	GWHAQIC00000000	tongue
RDPYD18089018	GWHAQID00000000	tongue
RDPYD18089018	GWHAQIE00000000	tongue
RDPYD18089018	GWHAQIF00000000	tongue
RDPYD18089019	GWHAQIG00000000	tongue
RDPYD18089022	GWHAQIH00000000	tongue
RDPYD18089024	GWHAQII00000000	tongue
RDPYD18089024	GWHAQIJ00000000	tongue
RDPYD18089024	GWHAQIK00000000	tongue
RDPYD18089029	GWHAQIL00000000	tongue
RDPYD18089030	GWHAQIM00000000	tongue
RDPYD18089033	GWHAQIN00000000	tongue
RDPYD18089033	GWHAQIO00000000	tongue
RDPYD18089033	GWHAQIP00000000	tongue
RDPYD18089034	GWHAQIQ00000000	tongue
RDPYD18089035	GWHAQIR00000000	tongue
RDPYD18089035	GWHAQIS00000000	tongue
RDPYD18089041	GWHAQIT00000000	tongue
RDPYD18089042	GWHAQIU00000000	tongue
RDPYD18089042	GWHAQIV00000000	tongue
RDPYD18089043	GWHAQIW00000000	tongue
RDPYD18089043	GWHAQIX00000000	tongue
RDPYD18089044	GWHAQIY00000000	tongue
RDPYD18089044	GWHAQIZ00000000	tongue
RDPYD18089045	GWHAQJA00000000	tongue
RDPYD18089045	GWHAQJB00000000	tongue
RDPYD18089045	GWHAQJC00000000	tongue
RDPYD18089047	GWHAQJD00000000	tongue
RDPYD18089047	GWHAQJE00000000	tongue
RDPYD18089049	GWHAQJF00000000	tongue
RDPYD18089227	GWHAQJG00000000	tongue
RDPYD18089229	GWHAQJH00000000	tongue
RDPYD18089230	GWHAQJI00000000	tongue
RDPYD18089230	GWHAQJJ00000000	tongue
RDPYD18089230	GWHAQJK00000000	tongue
RDPYD18089230	GWHAQJL00000000	tongue
RDPYD18089231	GWHAQJM00000000	tongue
RDPYD18089234	GWHAQJN00000000	tongue
RDPYD18089238	GWHAQJO00000000	tongue
RDPYD18089239	GWHAQJP00000000	tongue
RDPYD18089241	GWHAQJQ00000000	tongue
RDPYD18089246	GWHAQJR00000000	tongue
RDPYD18089250	GWHAQJS00000000	tongue
RDPYD18089251	GWHAQJT00000000	tongue
RDPYD18089251	GWHAQJU00000000	tongue
RDPYD18089252	GWHAQJV00000000	tongue
RDPYD18089253	GWHAQJW00000000	tongue
RDPYD18089261	GWHAQJX00000000	tongue
RDPYD18089261	GWHAQJY00000000	tongue
RDPYD18089264	GWHAQJZ00000000	tongue
RDPYD18089266	GWHAQKA00000000	tongue
RDPYD18089266	GWHAQKB00000000	tongue
RDPYD18089272	GWHAQKC00000000	tongue
RDPYD18089278	GWHAQKD00000000	tongue
RDPYD18089278	GWHAQKE00000000	tongue
RDPYD18089279	GWHAQKF00000000	tongue
RDPYD18089279	GWHAQKG00000000	tongue
RDPYD18089281	GWHAQKH00000000	tongue
RDPYD18089282	GWHAQKI00000000	tongue
RDPYD18089283	GWHAQKJ00000000	tongue
RDPYD18089283	GWHAQKK00000000	tongue
RDPYD18089285	GWHAQKL00000000	tongue
RDPYD18089285	GWHAQKM00000000	tongue
RDPYD18089286	GWHAQKN00000000	tongue
RDPYD18089287	GWHAQKO00000000	tongue
RDPYD18089287	GWHAQKP00000000	tongue
RDPYD18089287	GWHAQKQ00000000	tongue
RDPYD18089287	GWHAQKR00000000	tongue
RDPYD18089289	GWHAQKS00000000	tongue
RDPYD18089290	GWHAQKT00000000	tongue
RDPYD18089292	GWHAQKU00000000	tongue
RDPYD18089292	GWHAQKV00000000	tongue
RDPYD18089292	GWHAQKW00000000	tongue
RDPYD18089294	GWHAQKX00000000	tongue
RDPYD18089294	GWHAQKY00000000	tongue
RDPYD18089295	GWHAQKZ00000000	tongue
RDPYD18089298	GWHAQLA00000000	tongue
RDPYD18089298	GWHAQLB00000000	tongue
RDPYD18089298	GWHAQLC00000000	tongue
RDPYD18089298	GWHAQLD00000000	tongue
RDPYD18089300	GWHAQLE00000000	tongue
RDPYD18089301	GWHAQLF00000000	tongue
RDPYD18089301	GWHAQLG00000000	tongue
RDPYD18089301	GWHAQLH00000000	tongue
RDPYD18089306	GWHAQLI00000000	tongue
RDPYD18089306	GWHAQLJ00000000	tongue
RDPYD18089310	GWHAQLK00000000	tongue
RDPYD18089310	GWHAQLL00000000	tongue
RDPYD18089311	GWHAQLM00000000	tongue
RDPYD18089311	GWHAQLN00000000	tongue
RDPYD18089312	GWHAQLO00000000	tongue
RDPYD18089318	GWHAQLP00000000	tongue
RDPYD18089319	GWHAQLQ00000000	tongue
RDPYD18089323	GWHAQLR00000000	tongue
RDPYD18089326	GWHAQLS00000000	tongue
RDPYD18089327	GWHAQLT00000000	tongue
RDPYD18089327	GWHAQLU00000000	tongue
RDPYD18089329	GWHAQLV00000000	tongue
RDPYD18089329	GWHAQLW00000000	tongue
RDPYD18089330	GWHAQLX00000000	tongue
RDPYD18089331	GWHAQLY00000000	tongue
RDPYD18089331	GWHAQLZ00000000	tongue
RDPYD18089335	GWHAQMA00000000	tongue
RDPYD18089337	GWHAQMB00000000	tongue
RDPYD18089338	GWHAQMC00000000	tongue
RDPYD18089339	GWHAQMD00000000	tongue
RDPYD18089339	GWHAQME00000000	tongue
RDPYD18089339	GWHAQMF00000000	tongue
RDPYD18089339	GWHAQMG00000000	tongue
RDPYD18089340	GWHAQMH00000000	tongue
RDPYD18089342	GWHAQMI00000000	tongue
RDPYD18089343	GWHAQMJ00000000	tongue
RDPYD18089343	GWHAQMK00000000	tongue
RDPYD18089343	GWHAQML00000000	tongue
RDPYD18089345	GWHAQMM00000000	tongue
RDPYD18089346	GWHAQMN00000000	tongue
RDPYD18089346	GWHAQMO00000000	tongue
RDPYD18089347	GWHAQMP00000000	tongue
RDPYD18089350	GWHAQMQ00000000	tongue
RDPYD18089350	GWHAQMR00000000	tongue
RDPYD18089350	GWHAQMS00000000	tongue
RDPYD18089353	GWHAQMT00000000	tongue
RDPYD18089356	GWHAQMU00000000	tongue
RDPYD18089357	GWHAQMV00000000	tongue
RDPYD18089358	GWHAQMW00000000	tongue
RDPYD18089362	GWHAQMX00000000	tongue
RDPYD18089365	GWHAQMY00000000	tongue
RDPYD18089365	GWHAQMZ00000000	tongue
RDPYD18089368	GWHAQNA00000000	tongue
RDPYD18089369	GWHAQNB00000000	tongue
RDPYD18089370	GWHAQNC00000000	tongue
RDPYD18089370	GWHAQND00000000	tongue
RDPYD18089371	GWHAQNE00000000	tongue
RDPYD18089374	GWHAQNF00000000	tongue
RDPYD18093592	GWHAQNG00000000	saliva
RDPYD18093592	GWHAQNH00000000	saliva
RDPYD18093593	GWHAQNI00000000	saliva
RDPYD18093608	GWHAQNJ00000000	tongue
RDPYD18093608	GWHAQNK00000000	tongue
RDPYD18093608	GWHAQNL00000000	tongue
RDPYD18093609	GWHAQNM00000000	tongue
RDPYD18093609	GWHAQNN00000000	tongue
RDPYD18093609	GWHAQNO00000000	tongue
RDPYD18093610	GWHAQNP00000000	tongue
RDPYD18093611	GWHAQNQ00000000	tongue
RDPYD18093612	GWHAQNR00000000	tongue
RDPYD18093616	GWHAQNS00000000	tongue
RDPYD18093616	GWHAQNT00000000	tongue
RDPYD18093617	GWHAQNU00000000	tongue
RDPYD18093620	GWHAQNV00000000	tongue
RDPYD18093622	GWHAQNW00000000	tongue
RDPYD18093623	GWHAQNX00000000	tongue
RDPYD18093625	GWHAQNY00000000	tongue
RDPYD18093626	GWHAQNZ00000000	tongue
RDPYD18093626	GWHAQOA00000000	tongue
RDPYD18189801	GWHAQOB00000000	saliva
RDPYD18189804	GWHAQOC00000000	saliva
RDPYD18189805	GWHAQOD00000000	saliva
RDPYD18189806	GWHAQOE00000000	saliva
RDPYD18189811	GWHAQOF00000000	saliva
RDPYD18189811	GWHAQOG00000000	saliva
RDPYD18189811	GWHAQOH00000000	saliva
RDPYD18189816	GWHAQOI00000000	saliva
RDPYD18189821	GWHAQOJ00000000	saliva
RDPYD18189823	GWHAQOK00000000	saliva
RDPYD18189826	GWHAQOL00000000	saliva
RDPYD18189827	GWHAQOM00000000	saliva
RDPYD18189828	GWHAQON00000000	saliva
RDPYD18189828	GWHAQOO00000000	saliva
RDPYD18189830	GWHAQOP00000000	saliva
RDPYD18189831	GWHAQOQ00000000	saliva
RDPYD18189836	GWHAQOR00000000	saliva
RDPYD18189836	GWHAQOS00000000	saliva
RDPYD18189837	GWHAQOT00000000	saliva
RDPYD18189840	GWHAQOU00000000	saliva
RDPYD18189841	GWHAQOV00000000	saliva
RDPYD18189842	GWHAQOW00000000	saliva
RDPYD18189844	GWHAQOX00000000	saliva
RDPYD18189845	GWHAQOY00000000	saliva
RDPYD18189846	GWHAQOZ00000000	saliva
RDPYD18189850	GWHAQPA00000000	saliva
RDPYD18189858	GWHAQPB00000000	saliva
RDPYD18189859	GWHAQPC00000000	saliva
RDPYD18189860	GWHAQPD00000000	saliva
RDPYD18189861	GWHAQPE00000000	saliva
RDPYD18189862	GWHAQPF00000000	saliva
RDPYD18189862	GWHAQPG00000000	saliva
RDPYD18189864	GWHAQPH00000000	saliva
RDPYD18189864	GWHAQPI00000000	saliva
RDPYD18189864	GWHAQPJ00000000	saliva
RDPYD18189867	GWHAQPK00000000	saliva
RDPYD18189867	GWHAQPL00000000	saliva
RDPYD18189868	GWHAQPM00000000	saliva
RDPYD18189869	GWHAQPN00000000	saliva
RDPYD18189869	GWHAQPO00000000	saliva
RDPYD18189870	GWHAQPP00000000	saliva
RDPYD18189870	GWHAQPQ00000000	saliva
RDPYD18189875	GWHAQPR00000000	saliva
RDPYD18189875	GWHAQPS00000000	saliva
RDPYD18189875	GWHAQPT00000000	saliva
RDPYD18189879	GWHAQPU00000000	saliva
RDPYD18189885	GWHAQPV00000000	saliva
RDPYD18189887	GWHAQPW00000000	saliva
RDPYD18189890	GWHAQPX00000000	saliva
RDPYD18189890	GWHAQPY00000000	saliva
RDPYD18189893	GWHAQPZ00000000	saliva
RDPYD18189896	GWHAQQA00000000	saliva
RDPYD18189902	GWHAQQB00000000	saliva
RDPYD18189902	GWHAQQC00000000	saliva
RDPYD18189905	GWHAQQD00000000	saliva
RDPYD18189905	GWHAQQE00000000	saliva
RDPYD18189905	GWHAQQF00000000	saliva
RDPYD18189906	GWHAQQG00000000	saliva
RDPYD18189906	GWHAQQH00000000	saliva
RDPYD18189907	GWHAQQI00000000	saliva
RDPYD18189909	GWHAQQJ00000000	saliva
RDPYD18189918	GWHAQQK00000000	saliva
RDPYD18189920	GWHAQQL00000000	saliva
RDPYD18189922	GWHAQQM00000000	saliva
RDPYD18189922	GWHAQQN00000000	saliva
RDPYD18189925	GWHAQQO00000000	saliva
RDPYD18189927	GWHAQQP00000000	saliva
RDPYD18189928	GWHAQQQ00000000	saliva
RDPYD18189928	GWHAQQR00000000	saliva
RDPYD18189928	GWHAQQS00000000	saliva
RDPYD18189932	GWHAQQT00000000	saliva
RDPYD18189934	GWHAQQU00000000	saliva
RDPYD18189939	GWHAQQV00000000	saliva
RDPYD18189942	GWHAQQW00000000	saliva
RDPYD18189956	GWHAQQX00000000	saliva
RDPYD18189960	GWHAQQZ00000000	saliva
RDPYD18189960	GWHAQRA00000000	saliva
RDPYD18189962	GWHAQRB00000000	saliva
RDPYD18189966	GWHAQRC00000000	saliva
RDPYD18189967	GWHAQRD00000000	saliva
RDPYD18189968	GWHAQRE00000000	saliva
RDPYD18189971	GWHAQRF00000000	saliva
RDPYD18189982	GWHAQRG00000000	saliva
RDPYD18189985	GWHAQRH00000000	saliva
RDPYD18189985	GWHAQRI00000000	saliva
RDPYD18189988	GWHAQRJ00000000	saliva
RDPYD18189990	GWHAQRK00000000	saliva
RDPYD18189995	GWHAQRL00000000	saliva
RDPYD18189996	GWHAQRM00000000	saliva
RDPYD18189996	GWHAQRN00000000	saliva
RDPYD18189997	GWHAQRO00000000	saliva
RDPYD18190839	GWHAQRP00000000	tongue
RDPYD18190843	GWHAQRQ00000000	tongue
RDPYD18190843	GWHAQRR00000000	tongue
RDPYD18190843	GWHAQRS00000000	tongue
RDPYD18190844	GWHAQRT00000000	tongue
RDPYD18190845	GWHAQRU00000000	tongue
RDPYD18190845	GWHAQRV00000000	tongue
RDPYD18190847	GWHAQRW00000000	tongue
RDPYD18190847	GWHAQRX00000000	tongue
RDPYD18190848	GWHAQRY00000000	tongue
RDPYD18190848	GWHAQRZ00000000	tongue
RDPYD18190848	GWHAQSA00000000	tongue
RDPYD18190851	GWHAQSB00000000	tongue
RDPYD18190854	GWHAQSC00000000	tongue
RDPYD18190854	GWHAQSD00000000	tongue
RDPYD18190854	GWHAQSE00000000	tongue
RDPYD18190857	GWHAQSF00000000	tongue
RDPYD18190857	GWHAQSG00000000	tongue
RDPYD18190857	GWHAQSH00000000	tongue
RDPYD18190857	GWHAQSI00000000	tongue
RDPYD18190857	GWHAQSJ00000000	tongue
RDPYD18190858	GWHAQSK00000000	tongue
RDPYD18190858	GWHAQSL00000000	tongue
RDPYD18190858	GWHAQSM00000000	tongue
RDPYD18190859	GWHAQSN00000000	tongue
RDPYD18190859	GWHAQSO00000000	tongue
RDPYD18190860	GWHAQSP00000000	tongue
RDPYD18190863	GWHAQSQ00000000	tongue
RDPYD18190866	GWHAQSR00000000	tongue
RDPYD18190868	GWHAQSS00000000	tongue
RDPYD18190869	GWHAQST00000000	tongue
RDPYD18300004	GWHAQSU00000000	saliva
RDPYD18300004	GWHAQSV00000000	saliva
RDPYD18300008	GWHAQSW00000000	saliva
RDPYD18300014	GWHAQSX00000000	saliva
RDPYD18300015	GWHAQSY00000000	saliva
RDPYD18300015	GWHAQSZ00000000	saliva
RDPYD18300020	GWHAQTA00000000	saliva
RDPYD18300022	GWHAQTB00000000	saliva
RDPYD18300023	GWHAQTC00000000	saliva
RDPYD18300026	GWHAQTD00000000	saliva
RDPYD18300028	GWHAQTE00000000	saliva
RDPYD18300028	GWHAQTF00000000	saliva
RDPYD18300033	GWHAQTG00000000	saliva
RDPYD18300035	GWHAQTH00000000	saliva
RDPYD18300035	GWHAQTI00000000	saliva
RDPYD18300036	GWHAQTJ00000000	saliva
RDPYD18300036	GWHAQTK00000000	saliva
RDPYD18300039	GWHAQTL00000000	saliva
RDPYD18300046	GWHAQTM00000000	saliva
RDPYD18300055	GWHAQTN00000000	saliva
RDPYD18300058	GWHAQTO00000000	saliva
RDPYD18300060	GWHAQTP00000000	saliva
RDPYD18300061	GWHAQTQ00000000	saliva
RDPYD18300061	GWHAQTR00000000	saliva
RDPYD18300062	GWHAQTS00000000	saliva
RDPYD18300066	GWHAQTT00000000	saliva
RDPYD18300074	GWHAQTU00000000	saliva
RDPYD18300076	GWHAQTV00000000	saliva
RDPYD18300081	GWHAQTW00000000	saliva
RDPYD18300086	GWHAQTX00000000	saliva
RDPYD18300088	GWHAQTY00000000	saliva
RDPYD18300091	GWHAQTZ00000000	saliva
RDPYD18300094	GWHAQUA00000000	saliva
RDPYD18300097	GWHAQUB00000000	saliva
RDPYD18300101	GWHAQUC00000000	saliva
RDPYD18300101	GWHAQUD00000000	saliva
RDPYD18300106	GWHAQUE00000000	saliva
RDPYD18300106	GWHAQUF00000000	saliva
RDPYD18300108	GWHAQUG00000000	saliva
RDPYD18300114	GWHAQUH00000000	saliva
RDPYD18300120	GWHAQUI00000000	saliva
RDPYD18300123	GWHAQUJ00000000	saliva
RDPYD18300123	GWHAQUK00000000	saliva
RDPYD18300124	GWHAQUL00000000	saliva
RDPYD18300130	GWHAQUM00000000	saliva
RDPYD18300133	GWHAQUN00000000	saliva
RDPYD18300139	GWHAQUO00000000	saliva
RDPYD18300139	GWHAQUP00000000	saliva
RDPYD18300140	GWHAQUQ00000000	saliva
RDPYD18300141	GWHAQUR00000000	saliva
RDPYD18300146	GWHAQUS00000000	saliva
RDPYD18300153	GWHAQUT00000000	saliva
RDPYD18300154	GWHAQUU00000000	saliva
RDPYD18300154	GWHAQUV00000000	saliva
RDPYD18300154	GWHAQUW00000000	saliva
RDPYD18300164	GWHAQUX00000000	saliva
RDPYD18300164	GWHAQUY00000000	saliva
RDPYD18300169	GWHAQUZ00000000	saliva
RDPYD18300174	GWHAQVA00000000	saliva
RDPYD18300183	GWHAQVB00000000	saliva
RDPYD18300183	GWHAQVC00000000	saliva
RDPYD18300184	GWHAQVD00000000	saliva
RDPYD18300187	GWHAQVE00000000	saliva
RDPYD18300190	GWHAQVF00000000	saliva
RDPYD18300191	GWHAQVG00000000	saliva
RDPYD18300192	GWHAQVH00000000	saliva
RDPYD18300193	GWHAQVI00000000	saliva
RDPYD18300199	GWHAQVJ00000000	saliva
RDPYD18300205	GWHAQVK00000000	saliva
RDPYD18300206	GWHAQVL00000000	saliva
RDPYD18300208	GWHAQVM00000000	saliva
RDPYD18300246	GWHAQVN00000000	saliva
RDPYD18300246	GWHAQVO00000000	saliva
RDPYD18300246	GWHAQVP00000000	saliva
RDPYD18300247	GWHAQVQ00000000	saliva
RDPYD18300247	GWHAQVR00000000	saliva
RDPYD18300247	GWHAQVS00000000	saliva
RDPYD18300251	GWHAQVT00000000	saliva
RDPYD18300263	GWHAQVU00000000	saliva
RDPYD18300264	GWHAQVV00000000	saliva
RDPYD18300267	GWHAQVW00000000	saliva
RDPYD18300273	GWHAQVX00000000	saliva
RDPYD18300278	GWHAQVY00000000	saliva
RDPYD18300284	GWHAQVZ00000000	saliva
RDPYD18300286	GWHAQWA00000000	saliva
RDPYD18300286	GWHAQWB00000000	saliva
RDPYD18300290	GWHAQWC00000000	saliva
RDPYD18300291	GWHAQWD00000000	saliva
RDPYD18300294	GWHAQWE00000000	saliva
RDPYD18300294	GWHAQWF00000000	saliva
RDPYD18300299	GWHAQWG00000000	saliva
RDPYD18300300	GWHAQWH00000000	saliva
RDPYD18300300	GWHAQWI00000000	saliva
RDPYD18300300	GWHAQWJ00000000	saliva
RDPYD18300303	GWHAQWK00000000	saliva
RDPYD18300305	GWHAQWL00000000	saliva
RDPYD18300310	GWHAQWM00000000	saliva
RDPYD18300320	GWHAQWN00000000	saliva
RDPYD18300321	GWHAQWO00000000	saliva
RDPYD18300321	GWHAQWP00000000	saliva
RDPYD18300325	GWHAQWQ00000000	saliva
RDPYD18300325	GWHAQWR00000000	saliva
RDPYD18300328	GWHAQWS00000000	saliva
RDPYD18300328	GWHAQWT00000000	saliva
RDPYD18300329	GWHAQWU00000000	saliva
RDPYD18300341	GWHAQWV00000000	saliva
RDPYD18300341	GWHAQWW00000000	saliva
RDPYD18300342	GWHAQWX00000000	saliva
RDPYD18300348	GWHAQWY00000000	saliva
RDPYD18300355	GWHAQWZ00000000	saliva
RDPYD18300356	GWHAQXA00000000	saliva
RDPYD18300358	GWHAQXB00000000	saliva
RDPYD18300358	GWHAQXC00000000	saliva
RDPYD18300360	GWHAQXD00000000	saliva
RDPYD18300361	GWHAQXE00000000	saliva
RDPYD18300362	GWHAQXF00000000	saliva
RDPYD18300369	GWHAQXG00000000	saliva
RDPYD18300369	GWHAQXH00000000	saliva
RDPYD18300373	GWHAQXI00000000	saliva
RDPYD18300376	GWHAQXJ00000000	saliva
RDPYD18300377	GWHAQXK00000000	saliva
RDPYD18300377	GWHAQXL00000000	saliva
RDPYD18300381	GWHAQXM00000000	saliva
RDPYD18300385	GWHAQXN00000000	saliva
RDPYD18300387	GWHAQXO00000000	saliva
RDPYD18300392	GWHAQXP00000000	saliva
RDPYD18300394	GWHAQXQ00000000	saliva
RDPYD18300400	GWHAQXR00000000	saliva
RDPYD18300405	GWHAQXS00000000	saliva
RDPYD18300408	GWHAQXT00000000	saliva
RSZYD18078016	GWHAQXU00000000	saliva
RSZYD18078018	GWHAQXV00000000	saliva
RSZYD18078042	GWHAQXW00000000	saliva
RSZYD18078042	GWHAQXX00000000	saliva
RSZYD18078044	GWHAQXY00000000	saliva
RSZYD18078046	GWHAQXZ00000000	saliva
RSZYD18078047	GWHAQYA00000000	saliva
RSZYD18078065	GWHAQYB00000000	saliva
RSZYD18078065	GWHAQYC00000000	saliva
RSZYD18078066	GWHAQYD00000000	saliva
RSZYD18078068	GWHAQYE00000000	saliva
RSZYD18078070	GWHAQYF00000000	saliva
RSZYD18078071	GWHAQYG00000000	saliva
RSZYD18078071	GWHAQYH00000000	saliva
RSZYD18078072	GWHAQYI00000000	saliva
RSZYD18078072	GWHAQYJ00000000	saliva
RSZYD18078075	GWHAQYK00000000	saliva
RSZYD18078075	GWHAQYL00000000	saliva
RSZYD18078076	GWHAQYM00000000	saliva
RSZYD18078085	GWHAQYN00000000	saliva
RSZYD18078085	GWHAQYO00000000	saliva
RSZYD18078088	GWHAQYP00000000	saliva
RSZYD18078090	GWHAQYQ00000000	saliva
RSZYD18078091	GWHAQYR00000000	saliva
RSZYD18078095	GWHAQYS00000000	saliva
RSZYD18078098	GWHAQYT00000000	saliva
RSZYD18078098	GWHAQYU00000000	saliva
RSZYD18078100	GWHAQYV00000000	saliva
RSZYD18078103	GWHAQYW00000000	saliva
RSZYD18078107	GWHAQYX00000000	saliva
RSZYD18078108	GWHAQYY00000000	saliva
RSZYD18078109	GWHAQYZ00000000	saliva
RSZYD18078110	GWHAQZA00000000	saliva
RSZYD18078114	GWHAQZB00000000	saliva
RSZYD18078114	GWHAQZC00000000	saliva
RSZYD18078115	GWHAQZD00000000	saliva
RSZYD18078115	GWHAQZE00000000	saliva
RSZYD18078116	GWHAQZF00000000	saliva
RSZYD18078116	GWHAQZG00000000	saliva
RSZYD18078124	GWHAQZH00000000	saliva
RSZYD18078125	GWHAQZI00000000	saliva
RSZYD18078125	GWHAQZJ00000000	saliva
RSZYD18078127	GWHAQZK00000000	saliva
RSZYD18078127	GWHAQZL00000000	saliva
RSZYD18078130	GWHAQZM00000000	saliva
RSZYD18078131	GWHAQZN00000000	saliva
RSZYD18078135	GWHAQZO00000000	saliva
RSZYD18078136	GWHAQZP00000000	saliva
RSZYD18078138	GWHAQZQ00000000	saliva
RSZYD18078141	GWHAQZR00000000	saliva
RSZYD18078152	GWHAQZS00000000	saliva
RSZYD18078153	GWHAQZT00000000	saliva
RSZYD18078162	GWHAQZU00000000	saliva
RSZYD18078162	GWHAQZV00000000	saliva
RSZYD18078163	GWHAQZW00000000	saliva
RSZYD18078165	GWHAQZX00000000	saliva
RSZYD18078166	GWHAQZY00000000	saliva
RSZYD18078170	GWHAQZZ00000000	saliva
RSZYD18078172	GWHARAA00000000	saliva
RSZYD18078172	GWHARAB00000000	saliva
RSZYD18078181	GWHARAC00000000	saliva
RSZYD18078182	GWHARAD00000000	saliva
RSZYD18078188	GWHARAE00000000	saliva
RSZYD18078192	GWHARAF00000000	saliva
RSZYD18078194	GWHARAG00000000	saliva
RSZYD18078195	GWHARAH00000000	saliva
RSZYD18078200	GWHARAI00000000	saliva
RSZYD18078202	GWHARAJ00000000	saliva
RSZYD18078211	GWHARAK00000000	saliva
RSZYD18078211	GWHARAL00000000	saliva
RSZYD18078214	GWHARAM00000000	saliva
RSZYD18078216	GWHARAN00000000	saliva
RSZYD18078217	GWHARAO00000000	saliva
RSZYD18078217	GWHARAP00000000	saliva
RSZYD18078223	GWHARAQ00000000	saliva
RSZYD18078226	GWHARAR00000000	saliva
RSZYD18078229	GWHARAS00000000	saliva
RSZYD18078242	GWHARAT00000000	saliva
RSZYD18078249	GWHARAU00000000	saliva
RSZYD18078254	GWHARAV00000000	saliva
RSZYD18078257	GWHARAW00000000	saliva
RSZYD18078258	GWHARAX00000000	saliva
RSZYD18078259	GWHARAY00000000	saliva
RSZYD18078259	GWHARAZ00000000	saliva
RSZYD18078262	GWHARBA00000000	saliva
RSZYD18078269	GWHARBB00000000	saliva
RSZYD18078271	GWHARBC00000000	saliva
RSZYD18078271	GWHARBD00000000	saliva
RSZYD18078272	GWHARBE00000000	saliva
RSZYD18078276	GWHARBF00000000	saliva
RSZYD18078278	GWHARBG00000000	saliva
RSZYD18078281	GWHARBH00000000	saliva
RSZYD18078285	GWHARBI00000000	saliva
RSZYD18078304	GWHARBJ00000000	saliva
RSZYD18078307	GWHARBK00000000	saliva
RSZYD18078310	GWHARBL00000000	saliva
RSZYD18078313	GWHARBM00000000	saliva
RSZYD18078313	GWHARBN00000000	saliva
RSZYD18078316	GWHARBO00000000	saliva
RSZYD18078316	GWHARBP00000000	saliva
RSZYD18078319	GWHARBQ00000000	saliva
RSZYD18078326	GWHARBR00000000	saliva
RSZYD18078327	GWHARBS00000000	saliva
RSZYD18078331	GWHARBT00000000	saliva
RSZYD18078342	GWHARBU00000000	saliva
RSZYD18078343	GWHARBV00000000	saliva
RSZYD18078345	GWHARBW00000000	saliva
RSZYD18078357	GWHARBX00000000	saliva
RSZYD18078357	GWHARBY00000000	saliva
RSZYD18078359	GWHARBZ00000000	saliva
RSZYD18078360	GWHARCA00000000	saliva
RSZYD18078391	GWHARCB00000000	saliva
RSZYD18078392	GWHARCC00000000	saliva
RSZYD18078392	GWHARCD00000000	saliva
RSZYD18078398	GWHARCE00000000	saliva
RSZYD18078401	GWHARCF00000000	saliva
RSZYD18078403	GWHARCG00000000	saliva
RSZYD18078403	GWHARCH00000000	saliva
RSZYD18078404	GWHARCI00000000	saliva
RSZYD18078405	GWHARCJ00000000	saliva
RSZYD18078405	GWHARCK00000000	saliva
RSZYD18078406	GWHARCL00000000	saliva
RSZYD18078412	GWHARCM00000000	saliva
RSZYD18078417	GWHARCN00000000	saliva
RSZYD18078419	GWHARCO00000000	saliva
RSZYD18078419	GWHARCP00000000	saliva
RSZYD18078419	GWHARCQ00000000	saliva
RSZYD18078425	GWHARCR00000000	saliva
RSZYD18078428	GWHARCS00000000	saliva
RSZYD18078429	GWHARCT00000000	saliva
RSZYD18078430	GWHARCU00000000	saliva
RSZYD18078434	GWHARCV00000000	saliva
RSZYD18078434	GWHARCW00000000	saliva
RSZYD18078435	GWHARCX00000000	saliva
RSZYD18078437	GWHARCY00000000	saliva
RSZYD18078439	GWHARCZ00000000	saliva
RSZYD18078442	GWHARDA00000000	saliva
RSZYD18078442	GWHARDB00000000	saliva
RSZYD18078442	GWHARDC00000000	saliva
RSZYD18078443	GWHARDD00000000	saliva
RSZYD18078443	GWHARDE00000000	saliva
RSZYD18078445	GWHARDF00000000	saliva
RSZYD18078452	GWHARDG00000000	saliva
RSZYD18078453	GWHARDH00000000	saliva
RSZYD18078458	GWHARDI00000000	saliva
RSZYD18078460	GWHARDJ00000000	saliva
RSZYD18078461	GWHARDK00000000	saliva
RSZYD18078462	GWHARDL00000000	saliva
RSZYD18078463	GWHARDM00000000	saliva
RSZYD18078465	GWHARDN00000000	saliva
RSZYD18078465	GWHARDO00000000	saliva
RSZYD18078467	GWHARDP00000000	saliva
RSZYD18078471	GWHARDQ00000000	saliva
RSZYD18078475	GWHARDR00000000	saliva
RSZYD18078480	GWHARDS00000000	saliva
RSZYD18078485	GWHARDT00000000	saliva
RSZYD18078486	GWHARDU00000000	saliva
RSZYD18078486	GWHARDV00000000	saliva
RSZYD18078487	GWHARDW00000000	saliva
RSZYD18078488	GWHARDX00000000	saliva
RSZYD18078489	GWHARDY00000000	saliva
RSZYD18078489	GWHARDZ00000000	saliva
RSZYD18078489	GWHAREA00000000	saliva
RSZYD18078500	GWHAREB00000000	saliva
RSZYD18078502	GWHAREC00000000	saliva
RSZYD18078515	GWHARED00000000	saliva
RSZYD18078518	GWHAREE00000000	saliva
RSZYD18078519	GWHAREF00000000	saliva
RSZYD18078519	GWHAREG00000000	saliva
RSZYD18078521	GWHAREH00000000	saliva
RSZYD18078526	GWHAREI00000000	saliva
RSZYD18078530	GWHAREJ00000000	saliva
RSZYD18078531	GWHAREK00000000	saliva
RSZYD18078542	GWHAREL00000000	saliva
RSZYD18078550	GWHAREM00000000	saliva
RSZYD18078551	GWHAREN00000000	saliva
