Sample	MAG_accession	site
RDPYD18189898	GWHAPQW00000000	saliva
RDPYD18189903	GWHAPQX00000000	saliva
RDPYD18189903	GWHAPQY00000000	saliva
RDPYD18189903	GWHAPQZ00000000	saliva
RDPYD18189903	GWHAPRA00000000	saliva
RDPYD18189910	GWHAPRB00000000	saliva
RDPYD18189910	GWHAPRC00000000	saliva
RDPYD18189910	GWHAPRD00000000	saliva
RDPYD18189921	GWHAPRE00000000	saliva
RDPYD18189921	GWHAPRF00000000	saliva
RDPYD18189921	GWHAPRG00000000	saliva
RDPYD18189930	GWHAPRH00000000	saliva
RDPYD18189936	GWHAPRI00000000	saliva
RDPYD18189950	GWHAPRJ00000000	saliva
RDPYD18189950	GWHAPRK00000000	saliva
RDPYD18189950	GWHAPRL00000000	saliva
RDPYD18189950	GWHAPRM00000000	saliva
RDPYD18189957	GWHAPRN00000000	saliva
RDPYD18189957	GWHAPRO00000000	saliva
RDPYD18189965	GWHAPRP00000000	saliva
RDPYD18189965	GWHAPRQ00000000	saliva
RDPYD18189965	GWHAPRR00000000	saliva
RDPYD18189987	GWHAPRS00000000	saliva
RDPYD18189987	GWHAPRT00000000	saliva
RDPYD18189998	GWHAPRU00000000	saliva
RDPYD18189998	GWHAPRV00000000	saliva
RDPYD18190849	GWHAPRW00000000	tongue
RDPYD18190852	GWHAPRX00000000	tongue
RDPYD18190852	GWHAPRY00000000	tongue
RDPYD18190852	GWHAPRZ00000000	tongue
RDPYD18190852	GWHAPSA00000000	tongue
RDPYD18190862	GWHAPSB00000000	tongue
RDPYD18190862	GWHAPSC00000000	tongue
RDPYD18190862	GWHAPSD00000000	tongue
RDPYD18190865	GWHAPSE00000000	tongue
RDPYD18190871	GWHAPSF00000000	tongue
RDPYD18190871	GWHAPSG00000000	tongue
RDPYD18300006	GWHAPSH00000000	saliva
RDPYD18300032	GWHAPSI00000000	saliva
RDPYD18300032	GWHAPSJ00000000	saliva
RDPYD18300042	GWHAPSK00000000	saliva
RDPYD18300054	GWHAPSL00000000	saliva
RDPYD18300054	GWHAPSM00000000	saliva
RDPYD18300059	GWHAPSN00000000	saliva
RDPYD18300059	GWHAPSO00000000	saliva
RDPYD18300093	GWHAPSP00000000	saliva
RDPYD18300096	GWHAPSQ00000000	saliva
RDPYD18300096	GWHAPSR00000000	saliva
RDPYD18300110	GWHAPSS00000000	saliva
RDPYD18300127	GWHAPST00000000	saliva
RDPYD18300127	GWHAPSU00000000	saliva
RDPYD18300134	GWHAPSV00000000	saliva
RDPYD18300159	GWHAPSW00000000	saliva
RDPYD18300162	GWHAPSX00000000	saliva
RDPYD18300265	GWHAPSY00000000	saliva
RDPYD18300265	GWHAPSZ00000000	saliva
RDPYD18300288	GWHAPTA00000000	saliva
RDPYD18300288	GWHAPTB00000000	saliva
RDPYD18300304	GWHAPTC00000000	saliva
RDPYD18300304	GWHAPTD00000000	saliva
RDPYD18300304	GWHAPTE00000000	saliva
RDPYD18300319	GWHAPTF00000000	saliva
RDPYD18300323	GWHAPTG00000000	saliva
RDPYD18300323	GWHAPTH00000000	saliva
RDPYD18300326	GWHAPTI00000000	saliva
RDPYD18300326	GWHAPTJ00000000	saliva
RDPYD18300363	GWHAPTK00000000	saliva
RDPYD18300364	GWHAPTL00000000	saliva
RDPYD18300364	GWHAPTM00000000	saliva
RDPYD18300380	GWHAPTN00000000	saliva
RDPYD18300380	GWHAPTO00000000	saliva
RDPYD18300382	GWHAPTP00000000	saliva
RDPYD18300384	GWHAPTQ00000000	saliva
RDPYD18300399	GWHAPTR00000000	saliva
RDPYD18300399	GWHAPTS00000000	saliva
RDPYD18300399	GWHAPTT00000000	saliva
RSZYD18078020	GWHAPTU00000000	saliva
RSZYD18078058	GWHAPTV00000000	saliva
RSZYD18078064	GWHAPTW00000000	saliva
RSZYD18078087	GWHAPTX00000000	saliva
RSZYD18078101	GWHAPTY00000000	saliva
RSZYD18078104	GWHAPTZ00000000	saliva
RSZYD18078104	GWHAPUA00000000	saliva
RSZYD18078104	GWHAPUB00000000	saliva
RSZYD18078104	GWHAPUC00000000	saliva
RSZYD18078105	GWHAPUD00000000	saliva
RSZYD18078105	GWHAPUE00000000	saliva
RSZYD18078111	GWHAPUF00000000	saliva
RSZYD18078111	GWHAPUG00000000	saliva
RSZYD18078111	GWHAPUH00000000	saliva
RSZYD18078140	GWHAPUI00000000	saliva
RSZYD18078140	GWHAPUJ00000000	saliva
RSZYD18078140	GWHAPUK00000000	saliva
RSZYD18078148	GWHAPUL00000000	saliva
RSZYD18078148	GWHAPUM00000000	saliva
RSZYD18078177	GWHAPUN00000000	saliva
RSZYD18078177	GWHAPUO00000000	saliva
RSZYD18078185	GWHAPUP00000000	saliva
RSZYD18078201	GWHAPUQ00000000	saliva
RSZYD18078201	GWHAPUR00000000	saliva
RSZYD18078204	GWHAPUS00000000	saliva
RSZYD18078219	GWHAPUT00000000	saliva
RSZYD18078219	GWHAPUU00000000	saliva
RSZYD18078228	GWHAPUV00000000	saliva
RSZYD18078228	GWHAPUW00000000	saliva
RSZYD18078238	GWHAPUX00000000	saliva
RSZYD18078238	GWHAPUY00000000	saliva
RSZYD18078238	GWHAPUZ00000000	saliva
RSZYD18078241	GWHAPVA00000000	saliva
RSZYD18078273	GWHAPVB00000000	saliva
RSZYD18078306	GWHAPVC00000000	saliva
RSZYD18078306	GWHAPVD00000000	saliva
RSZYD18078341	GWHAPVE00000000	saliva
RSZYD18078341	GWHAPVF00000000	saliva
RSZYD18078341	GWHAPVG00000000	saliva
RSZYD18078341	GWHAPVH00000000	saliva
RSZYD18078394	GWHAPVI00000000	saliva
RSZYD18078394	GWHAPVJ00000000	saliva
RSZYD18078396	GWHAPVK00000000	saliva
RSZYD18078454	GWHAPVL00000000	saliva
RSZYD18078473	GWHAPVM00000000	saliva
RSZYD18078479	GWHAPVN00000000	saliva
RSZYD18078527	GWHAPVO00000000	saliva
RSZYD18078527	GWHAPVP00000000	saliva
RSZYD18078527	GWHAPVQ00000000	saliva
RSZYD18078535	GWHAPVR00000000	saliva
RSZYD18078535	GWHAPVS00000000	saliva
RSZYD18078535	GWHAPVT00000000	saliva
RSZYD18078537	GWHAPVU00000000	saliva
RSZYD18078554	GWHAPVV00000000	saliva
RSZYD18078565	GWHAPVW00000000	saliva
RSZYD18078568	GWHAPVX00000000	saliva
RSZYD18078568	GWHAPVY00000000	saliva
RSZYD18078579	GWHAPVZ00000000	saliva
RSZYD18078579	GWHAPWA00000000	saliva
RSZYD18078582	GWHAPWB00000000	saliva
