Bin,symbol,size,color,fillcol,position
CMC009.A.bin.r.34,2,1,#fea873,1,1
HMP_2012__SRS022602__bin.67,2,1,#fea873,1,1
GWHAPYJ00000000,2,1,#fea873,1,1
ERS12516939.bin.r.2,2,1,#fea873,1,1
ERS12516968.bin.r.5,2,1,#fea873,1,1
GWHAQZU00000000,2,1,#fea873,1,1
ERS12516944.bin.r.23,2,1,#fea873,1,1
ERS12516936.bin.r.42,2,1,#fea873,1,1
ERS12516976.bin.r.15,2,1,#fea873,1,1
CMC007.B.bin.r.52,2,1,#fea873,1,1
HMP_2012__SRS063932__bin.32,2,1,#fea873,1,1
HMP_2012__SRS013946__bin.5,2,1,#fea873,1,1
CMC018.B.bin.r.20,2,1,#fea873,1,1
ERS6955144.bin.r.7,2,1,#fea873,1,1
CMC022.B.bin.r.61,2,1,#fea873,1,1
CMC030.B.bin.r.27,2,1,#fea873,1,1
ERS12516953.bin.r.13,2,1,#fea873,1,1
CM_periimplantitis__SP_381SPT_T016__bin.30,2,1,#fea873,1,1
ERS12516950.bin.r.1,2,1,#fea873,1,1
CMC008.B.bin.r.5,2,1,#fea873,1,1
ERS12516967.bin.r.50,2,1,#fea873,1,1
ERS12516990.bin.r.24,2,1,#fea873,1,1
CMC038.B.bin.r.35,2,1,#fea873,1,1
CMC038.B.bin.r.24,2,1,#fea873,1,1
MGYG000298182,2,1,#fea873,1,1
CM_periimplantitis__SP_189SPI_T016__bin.24,2,1,#fea873,1,1
ERS12516979.bin.r.18,2,1,#fea873,1,1
GWHAPYV00000000,2,1,#fea873,1,1
ERS12516970.bin.r.108,2,1,#fea873,1,1
ERSX0003002.bin.r.33,2,1,#fea873,1,1
ERS3774378.bin.r.20,2,1,#fea873,1,1
ERS12516988.bin.r.46,2,1,#fea873,1,1
ERS3774401.bin.r.2,2,1,#fea873,1,1
ERS3774422.bin.r.25,2,1,#fea873,1,1
ERS3774391.bin.r.7,2,1,#fea873,1,1
ERS3774420.bin.r.3,2,1,#fea873,1,1
ERS3774402.bin.r.7,2,1,#fea873,1,1
MGYG000298663,2,1,#fea873,1,1
GWHAQUG00000000,2,1,#fea873,1,1
GWHARHC00000000,2,1,#fea873,1,1
GWHARMV00000000,2,1,#fea873,1,1
GWHAQOU00000000,2,1,#fea873,1,1
ERS12516981.bin.r.22,2,1,#fea873,1,1
GWHARNL00000000,2,1,#fea873,1,1
HMP_2012__SRS017076__bin.34,2,1,#fea873,1,1
GWHAQZO00000000,2,1,#fea873,1,1
GWHAQXY00000000,2,1,#fea873,1,1
ERS1202884.bin.r.17,2,1,#fea873,1,1
GWHARKI00000000,2,1,#fea873,1,1
MGYG000298582,2,1,#fea873,1,1
MGYG000299227,2,1,#fea873,1,1
ERS12516936.bin.r.14,2,1,#fea873,1,1
GWHARHT00000000,2,1,#fea873,1,1
MGYG000298747,2,1,#fea873,1,1
GWHAROH00000000,2,1,#fea873,1,1
GWHAQFV00000000,2,1,#fea873,1,1
GWHARKB00000000,2,1,#fea873,1,1
GWHAQEX00000000,2,1,#fea873,1,1
GWHARSQ00000000,2,1,#fea873,1,1
CMC026.B.bin.r.76,2,1,#fea873,1,1
ERS12516993.bin.r.21,2,1,#fea873,1,1
MGYG000299113,2,1,#fea873,1,1
GWHAQLR00000000,2,1,#fea873,1,1
ERS1202865.bin.r.7,2,1,#fea873,1,1
GWHAQZQ00000000,2,1,#fea873,1,1
GWHARDK00000000,2,1,#fea873,1,1
GWHARCQ00000000,2,1,#fea873,1,1
GWHAQOI00000000,2,1,#fea873,1,1
GWHARIK00000000,2,1,#fea873,1,1
GWHARDB00000000,2,1,#fea873,1,1
GWHAQNJ00000000,2,1,#fea873,1,1
GWHAQFD00000000,2,1,#fea873,1,1
GWHARMR00000000,2,1,#fea873,1,1
GWHAQYH00000000,2,1,#fea873,1,1
GWHARVT00000000,2,1,#fea873,1,1
MGYG000299119,2,1,#fea873,1,1
MGYG000299119,2,1,#fea873,1,1
GWHARCJ00000000,2,1,#fea873,1,1
GWHAQUE00000000,2,1,#fea873,1,1
GWHAQXT00000000,2,1,#fea873,1,1
GWHARTH00000000,2,1,#fea873,1,1
ERS12516986.bin.r.22,2,1,#fea873,1,1
GWHAQOS00000000,2,1,#fea873,1,1
GWHARHF00000000,2,1,#fea873,1,1
CM_cf__CF_TNFC002SA_t1M15__bin.36,2,1,#fea873,1,1
ERS1202885.bin.r.20,2,1,#fea873,1,1
GWHAQOX00000000,2,1,#fea873,1,1
GWHARVD00000000,2,1,#fea873,1,1
GWHARRF00000000,2,1,#fea873,1,1
GWHAQIC00000000,2,1,#fea873,1,1
ERS12516931.bin.r.14,2,1,#fea873,1,1
GWHAQIZ00000000,2,1,#fea873,1,1
GWHAPRF00000000,2,1,#fea873,1,1
MGYG000299111,2,1,#fea873,1,1
HMP_2012__SRS064774__bin.19,2,1,#fea873,1,1
GWHARGU00000000,2,1,#fea873,1,1
BritoIL_2016__W2.39.SA__bin.8,2,1,#fea873,1,1
GWHAQKM00000000,2,1,#fea873,1,1
GWHARRQ00000000,2,1,#fea873,1,1
GWHARTU00000000,2,1,#fea873,1,1
GWHARGW00000000,2,1,#fea873,1,1
MGYG000299042,2,1,#fea873,1,1
GWHAQTK00000000,2,1,#fea873,1,1
GWHAQDP00000000,2,1,#fea873,1,1
MGYG000298545,2,1,#fea873,1,1
GWHARGZ00000000,2,1,#fea873,1,1
HMP_2012__SRS015537__bin.17,2,1,#fea873,1,1
GWHAQKY00000000,2,1,#fea873,1,1
ERS12516975.bin.r.28,2,1,#fea873,1,1
GWHAQAT00000000,2,1,#fea873,1,1
ERS1202883.bin.r.19,2,1,#fea873,1,1
GWHAPLX00000000,2,1,#fea873,1,1
GWHAQLE00000000,2,1,#fea873,1,1
