homd/CDM046.B0101.SG1.kraken2.homd_ci15.output.tsv	2003573	5960472
homd/CDM046.F0101.SG1.kraken2.homd_ci15.output.tsv	2266064	8571935
homd/CDM046.G0101.SG1.kraken2.homd_ci15.output.tsv	2935083	7596299
homd/CDM046.H0101.SG1.kraken2.homd_ci15.output.tsv	2498620	7711673
homd/CDM046.N0101.SG1.kraken2.homd_ci15.output.tsv	2876772	5493252
homd/CDM046.Q0101.SG1.kraken2.homd_ci15.output.tsv	3662493	7569005
homd/CDM046.V0101.SG1.kraken2.homd_ci15.output.tsv	2945797	7045940
homd/CDM046.Y0101.SG1.kraken2.homd_ci15.output.tsv	3017634	5330809
homd/CDM047.B0101.SG1.kraken2.homd_ci15.output.tsv	4030667	7495969
homd/CDM047.E0101.SG1.kraken2.homd_ci15.output.tsv	2726158	6738233
homd/CDM047.H0101.SG1.kraken2.homd_ci15.output.tsv	5200566	9389958
homd/CDM047.S0101.SG1.kraken2.homd_ci15.output.tsv	2245525	5682585
homd/CDM047.V0101.SG1.kraken2.homd_ci15.output.tsv	2732742	5226500
homd/CDM048.A0101.SG1.kraken2.homd_ci15.output.tsv	2946506	8445045
homd/CDM048.D0101.SG1.kraken2.homd_ci15.output.tsv	2521199	8795042
homd/CDM048.E0101.SG1.kraken2.homd_ci15.output.tsv	2335301	6205734
homd/CDM048.F0101.SG1.kraken2.homd_ci15.output.tsv	4993930	6605210
homd/CDM048.I0101.SG1.kraken2.homd_ci15.output.tsv	1741238	8746621
homd/CDM048.K0101.SG1.kraken2.homd_ci15.output.tsv	3526032	7277576
homd/CDM048.N0101.SG1.kraken2.homd_ci15.output.tsv	2583227	6576869
homd/CDM048.O0101.SG1.kraken2.homd_ci15.output.tsv	2235316	6616868
homd/CDM048.P0101.SG1.kraken2.homd_ci15.output.tsv	3325763	6071834
homd/CDM048.Q0101.SG1.kraken2.homd_ci15.output.tsv	2470904	7090772
homd/CDM048.S0101.SG1.kraken2.homd_ci15.output.tsv	1355030	5171866
homd/CDM048.V0101.SG1.kraken2.homd_ci15.output.tsv	3620488	6575572
homd/CDM048.W0101.SG1.kraken2.homd_ci15.output.tsv	2684766	7279268
homd/CDM048.Z0101.SG1.kraken2.homd_ci15.output.tsv	2740326	7148102
homd/CDM049.A0101.SG1.kraken2.homd_ci15.output.tsv	2861524	7005303
homd/CDM049.D0101.SG1.kraken2.homd_ci15.output.tsv	2220583	8061966
homd/CDM049.E0101.SG1.kraken2.homd_ci15.output.tsv	2224587	5898315
homd/CDM049.F0101.SG1.kraken2.homd_ci15.output.tsv	3483206	6544951
homd/CDM049.I0101.SG1.kraken2.homd_ci15.output.tsv	2824823	5264151
homd/CDM049.K0101.SG1.kraken2.homd_ci15.output.tsv	4033335	6429921
homd/CDM049.M0101.SG1.kraken2.homd_ci15.output.tsv	2616545	6205234
homd/CDM049.P0101.SG1.kraken2.homd_ci15.output.tsv	3039766	6562289
homd/CDM049.S0101.SG1.kraken2.homd_ci15.output.tsv	2904071	7229731
homd/CDM049.W0101.SG1.kraken2.homd_ci15.output.tsv	1498943	8450198
homd/CDM050.L0101.SG1.kraken2.homd_ci15.output.tsv	2303658	5665081
homd/CDM050.V0101.SG1.kraken2.homd_ci15.output.tsv	3663660	9087121
homd/CDM050.X0101.SG1.kraken2.homd_ci15.output.tsv	4039342	10957158
homd/CDM050.Z0101.SG1.kraken2.homd_ci15.output.tsv	4173115	6215371
homd/CDM051.A0101.SG1.kraken2.homd_ci15.output.tsv	3563049	6337975
homd/CDM051.D0101.SG1.kraken2.homd_ci15.output.tsv	3644585	5940274
homd/CDM051.G0101.SG1.kraken2.homd_ci15.output.tsv	3490018	6809944
homd/CDM051.I0101.SG1.kraken2.homd_ci15.output.tsv	2825221	6780122
homd/CDM051.M0101.SG1.kraken2.homd_ci15.output.tsv	3847158	6105049
homd/CDM051.R0101.SG1.kraken2.homd_ci15.output.tsv	2920162	9067504
homd/CDM051.S0101.SG1.kraken2.homd_ci15.output.tsv	3297114	8104855
homd/CDM051.U0101.SG1.kraken2.homd_ci15.output.tsv	2582347	7220639
homd/CDM051.V0101.SG1.kraken2.homd_ci15.output.tsv	3765609	5385402
homd/CDM051.Z0101.SG1.kraken2.homd_ci15.output.tsv	2600517	7692054
homd/CDM052.F0101.SG1.kraken2.homd_ci15.output.tsv	3228742	7517874
homd/CDM052.I0101.SG1.kraken2.homd_ci15.output.tsv	3247220	6565822
homd/CDM052.J0101.SG1.kraken2.homd_ci15.output.tsv	2333886	8695561
homd/CDM052.K0101.SG1.kraken2.homd_ci15.output.tsv	2062196	7864767
homd/CDM052.M0101.SG1.kraken2.homd_ci15.output.tsv	3565979	6670704
homd/CDM052.N0101.SG1.kraken2.homd_ci15.output.tsv	3972757	6936696
homd/CMB001.A0101.kraken2.homd_ci15.output.tsv	2234932	4381259
homd/CMB002.A0101.kraken2.homd_ci15.output.tsv	2792482	5185452
homd/CMB003.A0101.kraken2.homd_ci15.output.tsv	2123008	6039474
homd/CMB004.A0101.kraken2.homd_ci15.output.tsv	1712493	5525516
homd/CMB005.A0101.kraken2.homd_ci15.output.tsv	3349082	4215988
homd/CMB006.A0101.kraken2.homd_ci15.output.tsv	3398512	4729913
homd/CMB007.A0101.kraken2.homd_ci15.output.tsv	1988329	4871876
homd/CMB008.A0101.kraken2.homd_ci15.output.tsv	2263282	5534448
homd/CMC001.A0101.SG1.kraken2.homd_ci15.output.tsv	6398205	5104774
homd/CMC001.A0201.SG1.kraken2.homd_ci15.output.tsv	8053967	6346617
homd/CMC001.B0201.SG1.kraken2.homd_ci15.output.tsv	9943517	3715749
homd/CMC002.A0201.SG1.kraken2.homd_ci15.output.tsv	7306184	4287596
homd/CMC002.B0201.SG1.kraken2.homd_ci15.output.tsv	5350787	1428085
homd/CMC003.A0201.SG1.kraken2.homd_ci15.output.tsv	7483464	3621785
homd/CMC003.B0101.SG1.kraken2.homd_ci15.output.tsv	12044071	3965238
homd/CMC004.A0101.SG1.kraken2.homd_ci15.output.tsv	7470466	7028302
homd/CMC004.B0201.SG1.kraken2.homd_ci15.output.tsv	9533075	5227381
homd/CMC005.A0202.SG1.kraken2.homd_ci15.output.tsv	9047117	3828444
homd/CMC005.B0101.SG1.kraken2.homd_ci15.output.tsv	11182054	3415753
homd/CMC006.A0101.SG1.kraken2.homd_ci15.output.tsv	13231964	3079717
homd/CMC006.B0201.SG1.kraken2.homd_ci15.output.tsv	9823643	3139134
homd/CMC007.B0101.SG1.kraken2.homd_ci15.output.tsv	8354496	3205742
homd/CMC008.A0101.SG1.kraken2.homd_ci15.output.tsv	7267226	3504971
homd/CMC008.B0201.SG1.kraken2.homd_ci15.output.tsv	9397380	3462045
homd/CMC009.A0202.SG1.kraken2.homd_ci15.output.tsv	9268318	2279197
homd/CMC009.B0101.SG1.kraken2.homd_ci15.output.tsv	10440254	3514015
