Species	CMC001.B.deep.homd_mags	CMC002.B.deep.homd_mags	CMC003.B.deep.homd_mags	CMC004.B.deep.homd_mags	CMC005.B.deep.homd_mags	CMC006.B.deep.homd_mags	CMC007.B.deep.homd_mags	CMC008.B.deep.homd_mags	CMC009.A.deep.homd_mags	CMC009.B.deep.homd_mags	CMC010.B.deep.homd_mags	CMC011.B.deep.homd_mags	CMC012.B.deep.homd_mags	CMC013.B.deep.homd_mags	CMC015.B.deep.homd_mags	CMC016.B.deep.homd_mags	CMC017.B.deep.homd_mags	CMC018.B.deep.homd_mags	CMC020.B.deep.homd_mags	CMC021.B.deep.homd_mags	CMC022.B.deep.homd_mags	CMC023.A.deep.homd_mags	CMC023.B.deep.homd_mags	CMC024.B.deep.homd_mags	CMC025.B.deep.homd_mags	CMC026.B.deep.homd_mags	CMC027.B.deep.homd_mags	CMC028.B.deep.homd_mags	CMC029.B.deep.homd_mags	CMC030.B.deep.homd_mags	CMC031.B.deep.homd_mags	CMC032.B.deep.homd_mags	CMC033.B.deep.homd_mags	CMC034.B.deep.homd_mags	CMC035.B.deep.homd_mags	CMC036.B.deep.homd_mags	CMC037.B.deep.homd_mags	CMC038.A.deep.homd_mags	CMC038.B.deep.homd_mags	CMC039.B.deep.homd_mags	CMC040.B.deep.homd_mags	CMC042.B.deep.homd_mags	CMC043.B.deep.homd_mags	CMC045.B.deep.homd_mags	CMC046.B.deep.homd_mags
Treponema_D pr_cl_1029	15	8	527	1321	152	6	20	2	24	40	136	173	631	178	103	588	325	155	1706	370	404	2136	209	452	692	8	1304	14	17	6	2	0	6	26	14	326	189	2305	33565	4	173	228	4	945	22
Treponema_D pr_cl_1027	51	25	45	1684	236	21	51	0	92	42	211	179	405	50	98	662	573	398	493	567	205	1619	161	323	604	28	1096	28	21	12	2	0	26	19	32	62	35	1196	3243	13	160	172	3	567	12
Treponema_D pr_cl_1028	59	14	112	619	153	14	44	4	40	81	254	209	749	39	67	212	288	472	454	309	188	2899	132	461	415	17	1319	9	14	2	2	0	26	47	16	108	58	1305	6140	12	175	71	1	690	25
Treponema_D pr_cl_1024	84	53	315	842	54	18	6	0	23	8	36	341	4009	22	29	533	193	1016	169	726	80	2143	254	210	302	77	3582	30	22	295	0	0	11	9	12	237	71	1621	3299	582	107	72	2	77	6
Treponema_D pr_cl_1026	174	221	564	17238	3394	112	141	20	1064	7441	3203	1970	5021	1336	1063	7695	1797	3129	11604	17279	887	20610	1857	2488	28940	200	31371	119	223	214	5	0	474	91	545	910	1243	36005	25464	393	6081	648	116	29536	259
Treponema_D pr_cl_1025	244	60	2439	2121	2220	395	374	56	106	99	147	3805	5373	1317	2356	38745	6271	65522	10242	5610	5021	161112	20079	14741	9663	45	29428	1302	2124	164	0	2	50	532	58	3196	1806	146736	424133	174	319	2056	6	1412	508
Treponema_D pr_cl_1050	255	5	13	9139	143	517	1195	380	193	461	1774	2902	814	25	249	3152	6574	1154	718	1780	4640	4473	850	3785	641	352	3692	1729	1253	2744	155	2	68	196	730	586	0	1236	6536	652	2880	2430	107	3701	869
Treponema_D pr_cl_1055	259	8	22	4770	163	366	1200	174	140	272	911	2550	850	20	131	3937	5562	1535	466	1160	2566	2931	719	3089	592	361	3531	2281	505	1452	89	0	94	110	619	231	3	1669	7590	314	1270	1401	45	1503	372
Treponema_D pr_cl_1022	267	112	2	1340	158	7	52	5	52	70	103	69	206	15	43	485	219	454	254	393	68	1020	381	150	161	45	722	16	27	1	1	0	16	8	10	32	18	1003	1859	11	408	73	0	138	17
Treponema_D pr_cl_1053	274	0	55	7881	102	1672	646	641	254	594	3893	11198	1474	51	70	5161	13124	1405	1065	733	45162	12777	363	9931	300	2772	5796	9513	2778	12777	44	5	49	134	2671	571	13	1621	13607	1299	4144	4749	131	3941	857
Treponema_D pr_cl_1056	340	2	23	5982	212	577	1002	326	303	602	1460	4105	998	54	191	5840	5687	1679	876	1224	4921	4859	1303	3304	712	352	4251	1904	1068	2206	115	0	132	160	826	362	2	1617	7081	422	2450	1955	60	2459	629
Treponema_D pr_cl_1048	498	15	4	5356	442	189	1302	56	140	150	669	3549	1639	14	330	7267	2757	1904	867	1776	1693	3646	1462	1290	1561	182	3407	517	482	446	228	1	166	128	613	273	3	1481	7784	212	1042	1187	37	963	383
Treponema_D pr_cl_1042	552	28	51	14779	1641	1781	1636	512	66	112	1631	43173	6265	19	420	20127	42768	16680	672	2195	47895	13323	1000	10865	1661	5828	8920	10323	223	7637	34	10	152	72	6428	280	28	8682	75060	900	732	2851	33	911	302
Treponema_D pr_cl_1058	606	10	91	13622	492	166	635	66	1005	97	4057	11732	2478	85	201	14179	8431	1874	1422	3003	5822	9511	955	2669	4710	252	9126	528	115	562	12	51	260	23	417	156	11	4009	14337	324	6358	2532	68	1308	122
Treponema_D pr_cl_1054	634	16	24	7201	594	880	3503	201	373	439	2805	5807	5381	125	1265	19139	12484	3056	2169	3622	10729	7655	9858	4223	3693	1593	5803	2748	930	4930	216	30	296	533	2697	313	94	2833	16546	917	2136	3803	148	1862	578
Treponema_D pr_cl_1032	723	27	18	2210	133	8	26	4	71	25	100	103	151	12	36	296	402	535	330	292	42	1713	208	169	394	15	795	38	16	5	0	0	25	7	13	31	8	1359	1900	17	620	103	0	426	39
Treponema_D pr_cl_1041	1285	45	82	7128	1481	954	1326	224	36	96	1462	20647	4215	9	410	12787	13991	11606	615	2311	13090	17283	1231	8790	3308	2250	11548	3923	107	2044	42	2	187	86	10055	449	8	11987	96689	441	650	2235	23	1598	305
Treponema_D pr_cl_1045	2934	57	104	19882	3157	465	4429	201	797	1512	2661	10705	6727	135	1167	35374	8940	14140	3585	6811	5917	28791	5077	5053	13122	576	22731	1228	1287	1278	322	2	641	428	3705	942	31	10417	49285	486	5716	3668	103	4526	849
Treponema_D pr_cl_1052	3472	40	208	66675	6441	2954	10946	728	1351	661	13639	85397	22463	178	2989	159444	57230	24574	8298	19420	180863	42997	18288	27448	11723	14054	53083	9501	2152	7333	1713	27	2112	1298	10989	2540	161	22334	106856	3800	11663	24523	181	7475	1203
Treponema_D pr_cl_1030	4035	144	346	35106	5735	183	653	65	1082	349	4686	2653	5315	151	320	3424	5242	2645	3359	79573	2939	7846	8369	2881	25033	260	32016	184	488	397	469	3	5793	3288	214	4082	318	4029	5904	235	6054	8372	119	7255	188
Treponema_D pr_cl_1046	4602	26	81	75842	6724	1277	17403	573	1957	545	6991	40640	21693	117	2446	104146	26534	19047	8542	19149	14582	33810	15442	13721	15104	1690	41221	3653	1586	2094	867	5	2235	1242	5441	3147	96	17552	94541	1808	10326	10725	122	7470	1158
Treponema_D pr_cl_1018	4748	70	98	158833	6324	1125	625	272	5362	458	16590	55197	58506	260	4717	128951	43992	16708	21011	53796	16385	8627	31332	23409	13120	1115	41564	2286	1535	897	476	1	3100	5235	2994	444	151	13335	59341	1828	48261	16302	164	2897	1634
Treponema_D pr_cl_1051	5320	281	366	21018	1397	41152	3861	6898	697	1652	98771	67097	15808	4777	1635	90102	461482	8176	7998	6568	261004	102395	10305	140874	13379	63987	50682	100675	4757	191300	1091	983	613	1964	106893	1203	378	11470	165589	100079	52127	102374	1035	31670	2843
Treponema_D pr_cl_1049	11314	62	1411	285287	1383	68841	40930	38468	19784	48995	132769	251501	47490	2010	1905	197374	253147	81831	53060	34802	329947	300012	7101	255434	8147	19663	271166	271297	77305	222849	1041	26	2671	4709	43697	18651	117	38543	271817	26948	155304	139405	2994	169172	35005
Treponema_D pr_cl_1044	15241	426	132	48034	4974	3014	28734	1007	2651	2114	8052	23621	18134	328	2921	63817	37474	43150	9335	36307	15262	123758	21692	17140	31636	2802	48605	3152	3679	5751	1310	46	2664	1486	32017	1875	123	30526	152180	2089	7001	10249	698	27638	18388
