Species	CMC001.B.deep.homd_mags	CMC002.B.deep.homd_mags	CMC003.B.deep.homd_mags	CMC004.B.deep.homd_mags	CMC005.B.deep.homd_mags	CMC006.B.deep.homd_mags	CMC007.B.deep.homd_mags	CMC008.B.deep.homd_mags	CMC009.A.deep.homd_mags	CMC009.B.deep.homd_mags	CMC010.B.deep.homd_mags	CMC011.B.deep.homd_mags	CMC012.B.deep.homd_mags	CMC013.B.deep.homd_mags	CMC015.B.deep.homd_mags	CMC016.B.deep.homd_mags	CMC017.B.deep.homd_mags	CMC018.B.deep.homd_mags	CMC020.B.deep.homd_mags	CMC021.B.deep.homd_mags	CMC022.B.deep.homd_mags	CMC023.A.deep.homd_mags	CMC023.B.deep.homd_mags	CMC024.B.deep.homd_mags	CMC025.B.deep.homd_mags	CMC026.B.deep.homd_mags	CMC027.B.deep.homd_mags	CMC028.B.deep.homd_mags	CMC029.B.deep.homd_mags	CMC030.B.deep.homd_mags	CMC031.B.deep.homd_mags	CMC032.B.deep.homd_mags	CMC033.B.deep.homd_mags	CMC034.B.deep.homd_mags	CMC035.B.deep.homd_mags	CMC036.B.deep.homd_mags	CMC037.B.deep.homd_mags	CMC038.A.deep.homd_mags	CMC038.B.deep.homd_mags	CMC039.B.deep.homd_mags	CMC040.B.deep.homd_mags	CMC042.B.deep.homd_mags	CMC043.B.deep.homd_mags	CMC045.B.deep.homd_mags	CMC046.B.deep.homd_mags
JACDCH01 pr_cl_3229	0	0	8	2	3	0	7	3	0	2	0	0	2	2	0	0	5	2	0	2	2	1	0	5	2	0	2	0	0	0	0	4	0	0	0	1	1	0	2	0	8	0	5	4	2
PALSA-555 pr_cl_3271	0	6	0	3	20	0	2	0	0	6	6	0	0	1	2	0	1	1	0	5	2	2	8	0	7	0	0	8	2	0	2	3	0	1	4	0	1	4	0	0	2	4	0	2	2
SIRX01 pr_cl_3226	0	6	0	0	7	2	0	2	5	0	0	0	0	0	0	3	0	1	0	0	0	2	0	0	2	1	0	1	0	0	0	3	0	5	4	0	2	44	2	0	0	0	0	2	0
JACVRM01 pr_cl_3222	0	6	0	0	3	0	7	0	1	5	0	0	8	0	0	4	0	0	1	0	0	0	1	1	6	0	0	6	0	0	0	0	0	0	1	2	3	0	8	2	4	0	2	2	4
JACDAN01 pr_cl_3270	0	6	0	4	0	1	0	0	3	8	0	0	2	2	1	0	1	1	2	1	2	4	1	4	5	1	7	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	3
70-9 pr_cl_3224	0	17	47	2	101	26	389	297	8	292	17	6	44	261	44	6	1	0	22	103	0	0	209	5	35	356	16	1	18	1	0	0	0	0	0	118	13	2	1	0	0	1	15	3	24
Solirubrobacteraceae pr_cl_3223	1	8	4	13	1	4	29	3	6	9	0	8	1	16	1	22	33	2	12	9	8	31	13	20	13	4	48	23	5	2	1	0	3	2	0	1	2	10	11	6	2	17	2	3	3
JACVRW01 pr_cl_3225	4	39	12	131	1	8	8	9	9	15	1	181	9	6	1	42	37	1	16	47	160	65	7	125	6	9	29	21	5	5	0	7	2	0	19	0	35	14	461	2	33	10	0	44	14
CACZQA01 pr_cl_3187	3	0	0	36	3	2	6	2	0	8	11	10	19	0	0	25	31	7	7	7	75	14	38	93	87	30	18	11	0	2	0	0	0	2	10	2	2	16	4	3	4	9	0	0	0
W1P20-047 pr_cl_3179	0	2	2	12	2	0	5	0	1	1	2	187	11	4	2	6	6	14	3	3	65	9	86	168	2	29	45	4	1	3	0	0	0	1	12	44	20	13	172	6	2	5	0	1	5
W1P20-047 pr_cl_3180	0	0	1	6	0	2	7	0	0	0	0	1	7	0	0	7	187	26	16	8	121	72	15	561	2	10	18	4	2	35	2	2	2	0	12	4	1	68	168	1	0	1	0	4	0
UMGS1519 pr_cl_3177	2	2	1	11	516	0	17	0	4	3	494	11019	4644	2	2	177	365	1251	5	12	1403	15	23	24	5	19890	17	83	16	35	25	0	6	6	21	8	14	16	46	6	5	35	0	0	0
RUG013 pr_cl_3178	2	0	0	0	0	0	0	0	0	0	2	26	5	0	0	0	11	2	0	0	4	0	0	25	2	63	13	0	0	0	0	0	0	0	0	0	0	4	0	2	2	0	3	0	0
Denitrobacterium pr_cl_3182	4	316	5	17	12	1	9	1	0	9	8	4	0	1	2	167	1368	2	5	33	9984	125	11	608225	177	1681	3	7	0	6	4	0	0	4	10418	1585	350	43771	954	46	2	15	22	310	2
Cryptobacterium pr_cl_3181	0	4	0	9	11	0	5	1	0	0	0	4	5	11	3	1	2390	2	0	0	4	79	5	131	2	32	2	1	2	6	0	0	0	1	6	2	46	5	0	0	0	0	0	0	2
Cryptobacterium pr_cl_3298	2	15	0	196	249	0	784	0	329	18	250	2614	614	627	1084	3095	1694	162	125	208	109	84	1586	96	6849	6650	1182	825	29	7221	27	0	6	29	258	78	7	12	27	14	32	865	61	8	8
Cryptobacterium pr_cl_3299	28	12	4	17084	9128	2	238	0	70	7	127	197649	34762	401	118591	299109	128898	281	1594	1266	9030	4543	94460	1916	74912	211390	32724	60823	1734	22602	0	0	2	1019	613	60	422	33	960	338	0	42708	611	110	4
Eggerthellaceae pr_cl_3186	42	0	1	198	35	0	269	0	4	15	34	112	32	3	487	379	237	23	45	92	203	121	502	148	328	159	267	1	70	226	0	0	19	15	155	11	37	38	220	31	0	8	94	8	12
Slackia pr_cl_3183	5710	1808	30	132511	2386	1928	34519	2980	112	445	18348	30854	48215	254	334	105713	12541	30688	9678	11131	103585	35136	6336	55013	15219	49778	23622	51144	17873	14557	341	123	1638	8088	48556	8760	275	2152	134113	3251	10495	32174	1071	60070	920
Berryella pr_cl_3184	1113	143	82	4173	2050	139	1257	61	92	217	5760	16759	12831	200	1901	16190	23362	330162	795	3985	3168011	915592	13463	1001128	11851	139364	14675	2824	462	3221	509	9	896	797	2083	1025	730	97960	249534	5432	181	3209	1023	594	1365
Berryella pr_cl_3185	5855	2798	191	226	8780	3977	665	595	12	237	384	287	483	3	1002	1135	154668	1684	136	3038	36137	14954	1454	12242	51807	59427	312	2898	479	143058	35	6	16	51	195333	832	81	1349	3273	2509	5	333	45	28	28
UBA7748 pr_cl_3188	0	1	3	45	1635	0	129	1	10	16	174	40	48	13	153	1599	264	23	41	41	110	188	1266	76	159	79	10	2	18	75	167	0	6	37	1828	39	10	28	21	29	6	112	49	22	34
RUG721 pr_cl_3204	33	0	6	35	112	2	51	2	0	10	9	66	223	0	142	3055	172	47	35	206	44	30	785	137606	70	52	67	3	72	38	0	0	4	16	30	81	12	12	43	277	6	5	8	200	25
Olegusella pr_cl_3409	33	34	431	82	11	154	128	17	0	3	28155	288	99	141	26	11958	3430	35486	257	285	8185	3093	1325	19378	169	13525	5717	2	867	787	0	5	10	12354	2052	1437	34	36791	6079	3555	0	1272	11	28	86
Olsenella_I pr_cl_3216	252	24	231	5546	13474	81	129	21	11	16	36973	2715	567997	123	955	13593	1520	51355	674	2700	4823	264	2403	24721	1772	11824	438	18	869	860	23	0	22	31893	394	2832	347	1086	654	344	11	141	68	145	26
Lancefieldella pr_cl_3386	0	0	0	2	2	0	0	0	2	0	5	7	0	1	0	0	0	0	7	1	0	0	0	1	2	6	1	0	0	0	0	6	0	0	1	5	0	0	0	0	0	0	0	0	0
Lancefieldella pr_cl_3352	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
Lancefieldella pr_cl_3358	0	0	0	9	4	0	0	0	1	0	4	1	11	0	0	0	4	0	0	2	0	0	0	0	2	0	0	3	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0
Lancefieldella pr_cl_3359	0	0	0	0	1	0	0	0	44	8	0	3	2	0	0	4	0	0	2	2	4	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lancefieldella pr_cl_3381	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	16	0	0	0	4	3	0	0	2	0	0	2	2	1	4	0	1	0	0	1	0	0	0	0	2	1	1	0	7	0
Lancefieldella pr_cl_3357	0	0	4	10	23	0	3	2	4	1	9	0	1	6	0	5	0	5	5	3	2	0	0	2	0	2	1	2	2	0	0	1	0	0	3	2	2	0	0	5	8	9	2	7	3
Lancefieldella pr_cl_3323	0	0	0	2	2	0	0	2	0	0	0	2	5	0	0	18	1	0	1	4	1	0	0	9	2	7	0	0	0	2	0	2	0	0	0	2	0	0	1	0	0	12	0	4	4
Lancefieldella pr_cl_3367	0	0	0	10	0	0	0	2	1	0	8	32	12	0	0	29	0	2	7	2	2	0	0	2	4	16	1	0	6	5	0	0	2	0	1	0	1	0	0	0	4	12	0	2	0
Lancefieldella pr_cl_3361	0	0	0	0	5	0	1	1	0	0	2	1	0	0	0	0	0	2	1	2	1	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0
Lancefieldella pr_cl_3343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lancefieldella pr_cl_3383	0	0	0	0	3	0	0	0	0	0	0	4	2	0	2	14	0	0	3	2	4	0	0	0	0	2	0	0	2	6	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
Lancefieldella pr_cl_3365	0	0	0	60	8	8	0	4	0	2	73	60	3	4	4	18	17	43	44	5	63	0	1	4	8	88	20	17	6	3	2	5	11	2	8	1	4	0	8	2	8	209	2	7	0
Lancefieldella pr_cl_3407	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lancefieldella pr_cl_3380	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
Lancefieldella pr_cl_3395	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	12	0	0	0	4	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Lancefieldella pr_cl_3348	0	0	0	17	0	0	0	0	0	0	2	3	0	0	1	2	0	0	1	6	139	2	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0
Lancefieldella pr_cl_3345	0	0	0	9	1	0	0	0	0	0	2	22	9	0	2	2	0	1	7	21	6	2	0	0	0	4	3	0	3	0	0	9	3	0	0	0	0	0	0	0	4	4	0	84	0
Lancefieldella pr_cl_3315	0	0	0	9	5	1	2	2	0	0	12	2	6	1	2	12	4	2	1	4	7	0	0	5	0	6	2	3	4	2	1	3	0	1	4	3	1	0	0	0	0	3	0	1	0
Lancefieldella pr_cl_3385	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	7	2	0	0	2	0	0	0	0	0	2	0	0	0	0	1	5	0	0	0	0	0	2	0	0	0
Lancefieldella pr_cl_3414	0	0	0	15	1	0	0	1	0	0	2	1	8	0	0	3	0	6	0	1	8	3	9	4	2	7	6	2	0	5	0	0	0	2	0	2	0	2	4	0	0	0	0	3	0
Lancefieldella pr_cl_3317	0	0	2	58	32	1	24	8	5	11	73	65	34	6	15	42	4	7	8	26	76	0	5	16	39	8	21	11	4	28	3	2	0	0	3	10	5	0	8	10	17	26	2	10	2
Lancefieldella pr_cl_3332	0	0	0	5	0	0	1	0	0	0	3	1	1	0	0	0	4	0	2	2	1	0	4	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0
Lancefieldella pr_cl_3377	0	0	0	4	17	0	0	0	0	0	1	8	0	0	0	0	0	0	1	0	2	0	0	7	2	0	10	0	0	0	0	0	0	0	2	1	0	0	0	0	2	4	0	0	0
Lancefieldella pr_cl_3391	0	0	0	1	2	0	0	2	0	0	11	2	2	0	1	15	2	0	4	1	3	0	1	4	2	1	4	1	0	5	2	0	0	0	0	2	0	0	0	0	0	9	1	0	0
Lancefieldella pr_cl_3341	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	2	1	6	2	1	1	2	0	0	0	0	6	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Lancefieldella pr_cl_3347	0	0	0	5	0	0	0	2	0	0	6	1	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0
Lancefieldella pr_cl_3382	0	0	0	8	1	0	4	0	0	2	6	3	7	0	2	6	1	1	5	2	3	0	2	2	0	0	16	0	5	4	0	0	0	0	2	0	0	0	0	0	2	15	0	1	0
Lancefieldella pr_cl_3336	0	0	0	15	0	0	33	0	1	0	0	19	11	0	1	3	2	0	1	6	50	3	51	2	12	6	5	9	1	17	0	2	0	0	25	0	0	0	29	2	41	6	0	0	0
Lancefieldella pr_cl_3370	0	0	0	4	0	5	0	0	0	2	1	2	15	0	0	17	0	0	0	7	72	0	0	0	1	2	30	6	2	0	0	0	0	9	0	0	0	0	0	0	2	6	0	4	0
Lancefieldella pr_cl_3340	0	0	1	6	2	2	0	0	0	4	5	4	0	5	0	6	0	0	0	4	85	3	6	2	2	0	4	3	10	3	0	0	0	0	0	3	0	0	0	0	3	3	0	0	0
Lancefieldella pr_cl_3375	0	0	0	0	3	1	0	0	0	0	6	7	0	2	0	1	0	0	0	0	0	0	0	1	0	0	1	6	1	0	0	1	0	0	0	0	6	0	0	0	1	3	1	0	0
Lancefieldella pr_cl_3401	0	0	0	1	11	0	0	0	0	0	2	2	1	0	0	0	0	0	2	1	40	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	2	2	0	0
Lancefieldella pr_cl_3202	0	1	4	80	10	3	24	0	3	1	23	98	60	16	5	107	16	5	18	34	239	1	20	152	62	44	46	29	45	33	0	1	1	6	3	7	0	0	6	4	22	64	11	23	0
Lancefieldella pr_cl_3412	0	0	0	7	15	0	16	0	0	4	4	9	8	2	2	13	11	187	6	2	358	18	2	273	20	26	18	0	0	1	0	0	0	0	3	3	0	35	20	0	1	1	2	0	0
Lancefieldella pr_cl_3349	0	0	0	7	2	0	0	2	0	0	1	0	0	2	3	3	0	0	0	3	219	0	0	0	4	2	0	4	0	2	0	2	0	0	0	2	0	0	0	0	0	1	0	1	0
Lancefieldella pr_cl_3338	0	0	0	3	9	0	0	0	0	0	23	2	0	8	0	29	27	0	8	7	4	0	2	1	282	0	0	2	0	0	0	0	0	0	5	8	4	0	0	9	0	1	3	0	4
Lancefieldella pr_cl_3325	0	0	0	23	4	1	0	2	0	4	25	13	18	0	2	7	0	2	3	14	185	0	1	11	11	12	0	0	7	2	0	3	0	4	6	0	0	0	4	3	8	10	1	7	0
Lancefieldella pr_cl_3331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Lancefieldella pr_cl_3308	0	0	0	38	6	0	35	1	0	0	13	57	24	2	4	21	4	2	27	15	42	0	16	31	22	31	16	9	27	25	0	0	0	6	0	1	0	0	0	3	6	19	0	10	1
Lancefieldella pr_cl_3392	0	0	0	8	4	1	0	1	0	0	3	7	2	0	0	0	0	2	3	5	1	0	0	0	0	1	2	0	0	2	0	0	0	0	0	1	0	4	0	0	16	3	0	0	0
Lancefieldella pr_cl_3339	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0
Lancefieldella pr_cl_3350	0	0	0	15	4	0	2	1	0	2	4	7	3	0	0	8	4	2	0	1	18	0	2	6	18	0	0	7	20	0	0	0	1	0	2	3	0	4	13	0	0	16	2	11	0
Lancefieldella pr_cl_3366	0	0	0	17	13	1	7	0	0	0	14	12	0	2	0	2	7	0	1	24	199	0	3	13	2	3	4	3	2	0	0	0	0	0	2	2	0	0	0	0	0	19	0	7	0
Lancefieldella pr_cl_3379	0	0	1	0	0	0	0	0	0	1	2	4	0	0	0	4	0	0	4	3	0	2	0	0	2	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	8	1	0	0
Lancefieldella pr_cl_3305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lancefieldella pr_cl_3405	0	0	0	3	3	0	1	0	0	0	5	1	7	0	0	2	2	0	1	5	6	0	2	1	0	3	7	11	2	5	0	0	0	0	3	0	0	0	0	0	2	2	0	4	4
Lancefieldella pr_cl_3318	0	0	0	2	0	0	0	1	0	0	1	0	0	3	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Lancefieldella pr_cl_3311	0	0	0	3	0	0	6	1	1	0	1	2	12	0	0	2	0	1	9	0	2	0	2	2	1	2	0	1	11	0	0	0	0	0	0	0	2	0	0	0	3	3	0	1	0
Lancefieldella pr_cl_3335	0	0	0	9	0	0	0	2	0	0	2	71	0	0	2	29	14	6	43	4	60	0	10	10	7	165	14	39	0	6	0	6	0	0	9	1	0	0	2	4	17	8	2	1	0
Lancefieldella pr_cl_3353	0	0	0	4	1	0	0	0	0	0	1	3	1	0	0	16	0	0	0	3	2	0	2	4	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	15	2	1	4	0
Lancefieldella pr_cl_3356	0	0	0	1	1	3	0	0	2	0	10	10	1	0	0	1	2	1	7	8	46	0	2	0	0	0	1	4	1	0	0	0	0	0	2	0	0	0	0	1	0	1	0	2	0
Lancefieldella pr_cl_3387	0	0	5	14	2	3	0	3	0	0	6	2	0	1	0	7	2	6	1	8	55	0	2	1	0	1	0	2	0	1	0	1	0	0	0	1	2	0	0	3	0	11	0	6	0
Lancefieldella pr_cl_3333	0	0	0	10	5	0	0	0	4	0	13	0	0	3	5	1	0	4	0	6	5	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
Lancefieldella pr_cl_3310	0	0	0	3	2	0	2	0	0	0	1	3	0	0	0	2	0	0	3	0	6	0	0	0	1	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Lancefieldella pr_cl_3393	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	1	0
Lancefieldella pr_cl_3406	0	0	0	0	4	2	0	0	0	0	18	21	11	2	2	0	0	2	3	5	70	0	2	0	5	1	11	1	1	2	0	0	0	0	8	0	0	0	0	0	4	5	0	2	0
Lancefieldella pr_cl_3327	0	0	0	23	2	2	2	0	35	4	105	3	2	0	0	11	7	1	10	14	0	0	0	1	4	0	7	0	0	0	8	1	0	3	0	2	0	6	7	4	1	163	101	5	3
Lancefieldella pr_cl_3404	0	0	7	45	22	11	7	1	9	0	15	20	77	3	5	676	10	4	6	16	114	8	159	93	39	17	15	3	6	12	0	2	2	2	330	10	2	0	2	61	24	53	4	8	6
Lancefieldella pr_cl_3373	0	0	0	12	0	0	0	0	0	0	1	0	5	0	0	0	2	1	0	4	5	0	1	7	0	0	0	0	0	0	0	3	1	0	1	0	2	0	0	0	1	0	0	0	0
Lancefieldella pr_cl_3316	0	0	0	9	9	1	0	4	2	0	7	10	5	0	0	2	5	0	0	8	84	1	10	2	4	4	10	0	2	2	0	0	0	0	2	0	0	0	0	2	11	5	0	0	0
Lancefieldella pr_cl_3354	0	0	0	18	2	0	0	4	0	0	3	1	0	0	0	0	0	0	1	0	63	0	0	0	3	5	3	0	5	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0
Lancefieldella pr_cl_3342	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	1	0	0	2	4	22	0	0	0	7	5	2	5	5	2	0	1	0	0	0	5	0	0	0	0	2	2	0	0	0
Lancefieldella pr_cl_3378	0	0	2	0	5	4	0	0	0	0	0	6	0	0	0	0	1	1	4	0	0	0	0	3	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lancefieldella pr_cl_3398	0	0	0	2	0	0	0	0	0	0	2	8	0	0	0	0	0	0	0	3	0	0	3	3	5	2	1	0	0	0	0	0	0	0	2	2	0	0	0	0	1	1	0	0	0
Lancefieldella pr_cl_3371	0	0	0	5	1	2	0	0	38	0	43	0	0	0	0	2	4	2	4	9	4	0	0	0	10	0	1	0	13	4	1	0	0	0	0	0	0	5	4	5	7	37	15	0	0
Lancefieldella pr_cl_3307	0	0	0	4	0	0	0	0	0	0	3	1	2	0	0	3	0	0	7	2	195	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0
Lancefieldella pr_cl_3399	0	0	0	0	3	2	0	0	0	0	4	6	0	2	0	8	0	2	7	3	27	0	1	0	0	6	3	1	0	0	0	0	0	0	3	0	0	0	0	2	0	4	1	1	0
Lancefieldella pr_cl_3374	0	0	0	3	0	1	0	0	0	0	7	0	0	0	0	2	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lancefieldella pr_cl_3402	0	0	0	11	0	0	2	2	0	0	2	0	1	0	0	2	0	0	0	0	12	0	0	0	13	0	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0
Lancefieldella pr_cl_3397	0	0	0	2	2	0	3	0	0	0	3	4	2	0	2	7	6	0	3	1	1	0	18	9	1	0	0	0	6	5	0	1	0	3	0	0	0	0	4	0	0	13	0	0	0
Lancefieldella pr_cl_3364	0	0	0	23	4	0	0	2	0	0	15	2	0	6	4	2	0	0	4	9	34	0	6	10	5	8	5	0	6	9	0	5	0	0	11	2	0	0	0	1	27	19	0	13	0
Lancefieldella pr_cl_3313	0	0	0	0	0	0	0	0	0	0	3	7	0	0	0	0	0	0	6	2	0	0	0	1	0	7	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0
Lancefieldella pr_cl_3394	0	0	0	8	8	4	0	0	0	2	0	2	0	0	0	0	0	0	0	1	4	1	0	0	3	0	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0
Lancefieldella pr_cl_3413	0	0	0	83	16	0	15	2	3	5	13	34	99	1	8	315	33	7	16	5	17	15	68	26	86	32	92	2	4	22	8	0	11	0	5	6	3	0	41	13	3	16	13	0	2
Lancefieldella pr_cl_3411	0	0	0	8	3	0	4	0	0	0	0	0	6	0	0	1	0	0	6	4	2	0	0	0	4	0	2	0	0	0	0	0	2	0	4	0	0	2	0	0	0	0	0	0	0
Lancefieldella pr_cl_3306	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Lancefieldella pr_cl_3351	0	1	0	0	3	1	0	0	0	0	2	0	0	2	0	0	0	3	0	0	0	0	0	8	1	2	0	0	0	0	0	0	0	0	2	0	1	0	0	0	3	2	0	0	0
Lancefieldella pr_cl_3396	0	0	0	0	0	0	14	4	0	3	9	0	0	0	0	1	0	1	12	9	0	6	0	35	4	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	0	4	0	1	0
Lancefieldella pr_cl_3363	0	0	0	0	0	1	0	0	1	0	7	4	1	1	2	13	0	1	0	2	2	0	0	1	0	3	0	4	0	4	0	2	0	0	9	0	0	0	0	0	10	16	0	1	0
Lancefieldella pr_cl_3314	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
Lancefieldella pr_cl_3390	0	0	0	31	1	1	3	0	1	3	29	7	3	0	16	20	4	3	4	9	10	2	1	8	22	3	9	3	4	2	0	0	1	0	0	2	4	0	0	5	7	23	0	4	0
Lancefieldella pr_cl_3346	0	0	0	3	0	0	0	0	21	0	6	0	0	6	0	1	0	0	0	0	1	0	1	0	45	0	1	0	0	0	2	0	0	0	0	2	3	0	0	0	0	1	0	2	0
Lancefieldella pr_cl_3400	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Lancefieldella pr_cl_3337	0	0	0	4	1	0	0	0	0	0	1	4	0	0	0	0	0	0	2	0	147	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Lancefieldella pr_cl_3360	0	0	0	2	5	2	0	2	0	0	4	0	0	0	0	2	0	6	2	2	5	0	2	1	1	0	1	0	0	0	0	0	0	0	2	1	0	0	1	1	0	1	1	0	0
Lancefieldella pr_cl_3376	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	6	0	0	0	1	3	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0
Lancefieldella pr_cl_3312	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	3	0	0	0	0	1	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Lancefieldella pr_cl_3330	0	0	0	2	2	0	0	0	0	0	1	2	2	0	0	0	0	0	0	6	6	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
Lancefieldella pr_cl_3388	0	0	4	43	18	3	22	3	0	0	61	29	95	8	0	41	14	2	20	30	47	808	32	35	39	10	19	13	7	13	0	2	0	6	11	7	0	4	5	5	26	52	4	17	0
Lancefieldella pr_cl_3309	0	0	0	2	0	0	0	0	0	0	4	1	0	0	0	3	0	0	2	0	0	0	1	11	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lancefieldella pr_cl_3319	0	0	0	0	1	1	0	0	0	0	2	3	0	0	0	0	1	0	0	2	4	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Lancefieldella pr_cl_3334	0	0	0	8	6	0	6	0	0	0	29	11	9	1	6	59	1	80	3	11	68	0	13	3	10	2	0	2	0	1	1	2	2	2	10	5	0	0	0	0	6	3	4	10	2
Lancefieldella pr_cl_3355	0	0	2	6	3	12	157	0	0	0	8	3	46	7	0	76	1	0	7	0	264	31	83	4	15	0	4	8	13	0	0	1	16	0	21	10	0	0	14	2	0	0	1	83	0
Lancefieldella pr_cl_3410	0	2	0	4	0	0	0	0	0	0	12	6	12	0	2	8	0	1	2	4	12	34	2	2	16	0	0	2	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Lancefieldella pr_cl_3344	0	0	0	4	0	0	0	1	0	0	8	4	7	0	0	19	4	0	6	0	4	0	0	0	6	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Lancefieldella pr_cl_3324	1	0	0	0	1	3	0	0	0	0	14	10	2	1	0	8	0	3	9	9	21	0	3	1	12	6	4	0	5	5	0	2	0	0	0	1	2	0	0	0	2	9	0	5	0
Lancefieldella pr_cl_3417	1	0	1	488	6	3	131	1	15	0	23	9	104	1	0	38	10	4	14	32	7	2	63	12	249	27	109	0	14	3	3	0	0	9	11	53	0	0	4	0	20	49	1	9	0
Lancefieldella pr_cl_3384	1	0	0	0	8	0	2	0	1	0	0	2	2	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	1	0	0	0	0	0	4	1	0	0	0	0	0	0	3	0	0
